chr	suffix	name	seq
1	A	X421G	00111101110111111111111111111111111111111111111111111121
1	A	X421E	00111111110111111111111111111111111111111111111111111111
1	A	X421L	10111001110111112111111111111111111111111111111111111111
1	A	internal_7	00111111110111111111111111111111111111111111111111111111
1	A	X421F	11111101110211111111111111111112211111111221111111111111
1	A	internal_6	10111111110111111111111111111111111111111111111111111111
1	A	X421H	11111001110111111111111111111111111111111111111111111111
1	A	internal_5	11111111110111111111111111111111111111111111111111111111
1	A	internal_4	11111111110111111111111111111111111111111111111111111111
1	A	X421C	11111101111111112111111111111111111111211111111111111111
1	A	X421D	21111111111111111121111111111111111111111111111222212111
1	A	internal_3	11111111111111111111111111111111111111111111111111111111
1	A	X421B	22222222222221111111111111111211222111111111111222111111
1	A	internal_2	11111111111111111111111111111111111111111111111222111111
1	A	internal_1	11111111111111111111111111111111111111111111111222111111
1	A	diploid	11111111111111111111111111111111111111111111111111111111
1	B	X421G	00000000011111111111111111111111111111111111111111111111
1	B	X421E	00000000001111111111111111111111111111111111111111111111
1	B	X421L	00011111111111111111111111111111111111111111111111111111
1	B	internal_7	00000000011111111111111111111111111111111111111111111111
1	B	X421F	00111111111111111111111111111111111111111111111111111111
1	B	internal_6	00011111111111111111111111111111111111111111111111111111
1	B	X421H	00001111111111111111111111111111111111111111111111111111
1	B	internal_5	00111111111111111111111111111111111111111111111111111111
1	B	internal_4	00111111111111111111111111111111111111111111111111111111
1	B	X421C	00111111111111111111111110001111111111111110000011111111
1	B	X421D	01111111111111111101100110001111111111111111011111110111
1	B	internal_3	00111111111111111111111111111111111111111111111111111111
1	B	X421B	11111111111111111111110010111111111111111100000111111111
1	B	internal_2	01111111111111111111111111111111111111111111111111111111
1	B	internal_1	11111111111111111111111111111111111111111111111111111111
1	B	diploid	11111111111111111111111111111111111111111111111111111111
2	A	X421G	1111111111111111112111111111111111111111111111111111111
2	A	X421E	1111111111111111111111111111111111111111111111111111111
2	A	X421L	1111111111111111111111111111111111111111111111111111111
2	A	internal_7	1111111111111111111111111111111111111111111111111111111
2	A	X421F	1111111111111111111111111111111111111111111122211111111
2	A	internal_6	1111111111111111111111111111111111111111111111111111111
2	A	X421H	1111111111111111111111111111111111111111111111111111111
2	A	internal_5	1111111111111111111111111111111111111111111111111111111
2	A	internal_4	1111111111111111111111111111111111111111111111111111111
2	A	X421C	1111111111111112111111111222222222222222222222222222111
2	A	X421D	1111122211111211111111111111111111211111111121111111111
2	A	internal_3	1111111111111111111111111111111111111111111111111111111
2	A	X421B	2222222111111111111111111111100021111111111111121112222
2	A	internal_2	1111111111111111111111111111111111111111111111111111111
