Sample,Probe target,Height,Area,Final.ratio,Stdev,symbol
167C,13-049.576833,1479,12538,0.78,0.13,DLEU1-2
167C,16-002.038612,1219,10133,0.89,0.15,TSC2-1
167C,16-002.067648,631,8305,0.84,0.17,TSC2-25
167C,16-002.076651,915,9944,0.71,0.16,TSC2-38
167C,17-007.514677,472,6786,0.51,1,TP53-10
167C,17-007.519217,667,8928,0.48,0.08,TP53-4b
167C,17-007.531504,1148,13715,0.71,0.15,TP53-1
167C,17-026.577746,904,12109,0.97,0.15,NF1-18
167C,17-026.681489,1713,18325,1.02,0.16,NF1-39
167C,17-038.450829,1189,16716,0.96,0.15,BRCA1-24
167C,17-038.479889,1667,20284,0.9,0.16,BRCA1-15
167C,17-038.510430,1208,12648,1.03,0.17,BRCA1-6
167C,18-046.829678,1365,16057,0.94,0.17,SMAD4-4
167C,18-046.858705,1066,15172,0.87,1,SMAD4-12
167C,19-001.157954,1167,11008,0.84,0.17,STK11-1
167C,19-001.170331,690,7551,0.71,0.13,STK11-3
167C,19-018.503959,903,11213,0.86,0.17,FKBP8-9
167C,19-018.511130,908,9451,0.75,0.14,FKBP8-4
167C,22-022.459352,980,11784,0.82,0.19,SMARCB1-1
167C,22-022.506421,928,8526,0.71,0.12,SMARCB1-9
167C,X-063.326842,290,3794,0.88,1,AMER1-2
167C,X-063.342134,1064,9005,0.99,0.24,AMER1-1
167C,02-061.126370,1507,21412,1.15,0.21,References PEX13
167C,02-189.557818,2128,22632,1.21,0.19,References COL3A1
167C,04-001.902193,916,13448,0.84,1,References WHSC1
167C,04-187.390323,1804,16821,0.96,0.15,References KLKB1
167C,05-132.037607,2166,17473,1.08,0.19,References IL4
167C,06-065.588251,1512,17988,1.11,0.21,References EYS
167C,06-108.321498,1224,17146,1.04,0.16,References SEC63
167C,11-095.238425,1613,16955,1.35,0.28,References MTMR2
167C,14-022.972596,1370,12130,0.79,0.13,References MYH7
167C,15-042.653071,900,12185,0.89,0.17,References SPG11
167C,16-080.537323,705,9435,0.6,0.11,References PLCG2
167C,21-037.919589,1353,11752,0.82,0.18,References KCNJ6
167D,01-001.274237,2168,16038,1.13,0.25,DVL1-1
167D,01-003.150503,1006,13480,1.04,0.22,PRDM16-3
167D,01-006.150830,846,11724,1,0.27,CHD5-2
167D,01-007.727575,1719,17918,0.96,0.12,CAMTA1-18
167D,01-010.214967,2643,19129,0.97,0.13,KIF1B-2
167D,03-010.158544,2239,20101,0.95,0.21,VHL-1
167D,03-010.163233,1308,14952,0.84,0.11,VHL-2
167D,03-059.972109,1741,16311,1.1,0.15,FHIT-7
167D,03-060.782680,1488,14850,0.87,0.13,FHIT-4
167D,05-112.182873,1668,14868,1.14,0.13,APC-12
167D,05-112.206814,1133,14333,1.19,1,APC-18
167D,09-021.958641,1990,20597,0.79,0.13,CDKN2A-4
167D,09-021.961213,1589,11467,0.67,0.08,CDKN2A-3
