Sample,Probe target,Height,Area,Final.ratio,Stdev,symbol
167L,10-089.710865,1866,20472,1.31,0.41,PTEN-8
167L,11-032.366613,1382,15837,0.94,0.3,WT1-11
167L,11-032.413841,628,5660,0.36,0.13,WT1-1
167L,13-031.791351,2471,17935,1.13,0.36,BRCA2-3
167L,13-031.803112,2659,21607,1.03,0.32,BRCA2-9
167L,13-047.814761,1223,14357,0.74,0.23,RB1-3
167L,13-047.948892,1295,12476,0.55,0.17,RB1-25
167L,13-049.521254,3021,22529,0.84,0.26,MIR15A-1
167L,13-049.576833,1973,15057,0.87,0.27,DLEU1-2
167L,16-002.038612,1162,8360,0.68,0.22,TSC2-1
167L,16-002.067648,429,4326,0.4,0.14,TSC2-25
167L,16-002.076651,444,3727,0.25,0.09,TSC2-38
167L,17-007.514677,254,2946,0.21,1,TP53-10
167L,17-007.519217,535,5109,0.25,0.08,TP53-4b
167L,17-007.531504,788,7285,0.35,0.13,TP53-1
167L,17-026.577746,963,11309,0.83,0.26,NF1-18
167L,17-026.681489,3315,26565,1.36,0.43,NF1-39
167L,17-038.450829,1699,18901,0.99,0.31,BRCA1-24
167L,17-038.479889,2121,20305,0.83,0.28,BRCA1-15
167L,17-038.510430,2278,18180,1.38,0.44,BRCA1-6
167L,18-046.829678,2660,25707,1.38,0.46,SMAD4-4
167L,18-046.858705,1032,12206,0.67,1,SMAD4-12
167L,19-001.157954,885,7186,0.51,0.18,STK11-1
167L,19-001.170331,531,4307,0.37,0.12,STK11-3
167L,19-018.503959,626,5698,0.41,0.14,FKBP8-9
167L,19-018.511130,734,5710,0.42,0.14,FKBP8-4
167L,22-022.459352,769,7195,0.47,0.18,SMARCB1-1
167L,22-022.506421,610,4680,0.36,0.12,SMARCB1-9
167L,X-063.326842,0,0,0,0,AMER1-2
167L,X-063.342134,520,3388,0.34,0.12,AMER1-1
167L,02-061.126370,2049,25246,1.22,0.39,References PEX13
167L,02-189.557818,2919,23146,1.15,0.36,References COL3A1
167L,04-001.902193,680,8420,0.5,1,References WHSC1
167L,04-187.390323,2632,20075,1.07,0.34,References KLKB1
167L,05-132.037607,2412,17300,0.99,0.3,References IL4
167L,06-065.588251,2376,22761,1.29,0.44,References EYS
167L,06-108.321498,1648,18962,1.04,0.33,References SEC63
167L,11-095.238425,2459,20327,1.5,0.53,References MTMR2
167L,14-022.972596,742,5634,0.34,0.11,References MYH7
167L,15-042.653071,621,7045,0.47,0.15,References SPG11
167L,16-080.537323,624,6558,0.38,0.13,References PLCG2
167L,21-037.919589,1235,9364,0.61,0.22,References KCNJ6
167M,01-001.274237,316,4140,0.42,0.2,DVL1-1
167M,01-003.150503,0,0,0,0,PRDM16-3
167M,01-006.150830,260,5816,0.58,0.27,CHD5-2
167M,01-007.727575,459,8664,0.58,0.24,CAMTA1-18
167M,01-010.214967,1300,15194,1.09,0.45,KIF1B-2
167M,03-010.158544,306,5533,0.35,0.17,VHL-1
167M,03-010.163233,604,12899,0.9,0.37,VHL-2
167M,03-059.972109,1048,20249,1.79,0.76,FHIT-7
167M,03-060.782680,998,16818,1.27,0.56,FHIT-4
167M,05-112.182873,541,8678,0.87,0.36,APC-12
167M,05-112.206814,469,10301,1.09,1,APC-18
167M,09-021.958641,314,6981,0.36,0.16,CDKN2A-4
167M,09-021.961213,483,5803,0.48,0.2,CDKN2A-3
167M,09-021.998809,202,4608,0.31,1,CDKN2B-1
167M,09-097.258441,347,6164,0.38,0.17,PTCH1-20
167M,09-097.284232,1072,18841,1.68,0.73,PTCH1-5
167M,09-134.767854,981,14041,0.72,1,TSC1-18
167M,09-134.809748,421,7664,0.46,0.21,TSC1-1
167M,10-089.680713,1188,26361,1.95,0.85,PTEN-4
167M,10-089.682864,1136,24712,1.46,0.63,PTEN-5
167M,10-089.710865,879,21902,1.56,0.66,PTEN-8
167M,11-032.366613,566,12057,0.78,0.33,WT1-11
167M,11-032.413841,0,0,0,0,WT1-1
167M,13-031.791351,1475,18990,1.41,0.6,BRCA2-3
167M,13-031.803112,1410,21167,1.17,0.49,BRCA2-9
167M,13-047.814761,1207,28365,1.59,0.67,RB1-3
167M,13-047.948892,1223,24622,1.21,0.5,RB1-25
167M,13-049.521254,2937,36638,1.63,0.68,MIR15A-1
167M,13-049.576833,2495,25968,1.78,0.74,DLEU1-2
167M,16-002.038612,714,7802,0.76,0.32,TSC2-1
167M,16-002.067648,0,0,0,0,TSC2-25
167M,16-002.076651,0,0,0,0,TSC2-38
167M,17-007.514677,224,5291,0.42,1,TP53-10
167M,17-007.519217,401,8409,0.48,0.2,TP53-4b
167M,17-007.531504,702,14003,0.77,0.36,TP53-1
167M,17-026.577746,601,13018,1.05,0.44,NF1-18
167M,17-026.681489,1671,28357,1.69,0.72,NF1-39
167M,17-038.450829,734,18482,1.08,0.46,BRCA1-24
167M,17-038.479889,1084,20399,0.94,0.42,BRCA1-15
167M,17-038.510430,1145,18642,1.66,0.7,BRCA1-6
167M,18-046.829678,1542,28730,1.74,0.77,SMAD4-4
167M,18-046.858705,500,12793,0.77,1,SMAD4-12
167M,19-001.157954,412,6209,0.52,0.23,STK11-1
167M,19-001.170331,225,3458,0.35,0.15,STK11-3
167M,19-018.503959,241,4545,0.37,0.17,FKBP8-9
167M,19-018.511130,354,5142,0.44,0.19,FKBP8-4
167M,22-022.459352,361,6841,0.5,0.24,SMARCB1-1
167M,22-022.506421,294,4665,0.43,0.18,SMARCB1-9
167M,X-063.326842,0,0,0,0,AMER1-2
167M,X-063.342134,202,2741,0.33,0.15,AMER1-1
167M,02-061.126370,909,25696,1.35,0.57,References PEX13
167M,02-189.557818,1111,17725,1.03,0.43,References COL3A1
167M,04-001.902193,278,7597,0.5,1,References WHSC1
167M,04-187.390323,1221,17016,1.07,0.45,References KLKB1
167M,05-132.037607,1282,14823,1.02,0.42,References IL4
167M,06-065.588251,1472,25420,1.63,0.72,References EYS
167M,06-108.321498,787,20002,1.21,0.51,References SEC63
167M,11-095.238425,1471,21136,1.79,0.81,References MTMR2
167M,14-022.972596,405,5598,0.4,0.17,References MYH7
167M,15-042.653071,280,5962,0.44,0.19,References SPG11
167M,16-080.537323,424,8363,0.55,0.24,References PLCG2
167M,21-037.919589,622,7586,0.6,0.27,References KCNJ6
179B,01-001.274237,1017,10295,0.93,0.14,DVL1-1
179B,01-003.150503,381,9731,0.89,0.13,PRDM16-3
179B,01-006.150830,252,7776,0.79,0.16,CHD5-2
179B,01-007.727575,862,14902,0.98,0.1,CAMTA1-18
179B,01-010.214967,1631,16187,1.06,0.17,KIF1B-2
179B,03-010.158544,971,16832,0.99,0.16,VHL-1
179B,03-010.163233,681,14356,0.98,0.11,VHL-2
179B,03-059.972109,778,13356,1.13,0.21,FHIT-7
179B,03-060.782680,872,16659,1.22,0.25,FHIT-4
179B,05-112.182873,680,10797,1.04,0.13,APC-12
179B,05-112.206814,0,0,0,0,APC-18
179B,09-021.958641,1025,18765,0.91,0.11,CDKN2A-4
179B,09-021.961213,1290,13322,0.99,0.1,CDKN2A-3
179B,09-021.998809,0,0,0,0,CDKN2B-1
179B,09-097.258441,1186,18116,1.04,0.1,PTCH1-20
179B,09-097.284232,824,13191,1.12,0.15,PTCH1-5
179B,09-134.767854,0,0,0,0,TSC1-18
179B,09-134.809748,1013,17024,0.95,0.11,TSC1-1
179B,10-089.680713,830,16350,1.17,0.19,PTEN-4
179B,10-089.682864,1018,19825,1.14,0.17,PTEN-5
179B,10-089.710865,643,15474,1.1,0.22,PTEN-8
179B,11-032.366613,506,13114,0.86,0.14,WT1-11
179B,11-032.413841,841,13701,0.94,0.12,WT1-1
179B,13-031.791351,1484,16528,1.13,0.18,BRCA2-3
179B,13-031.803112,1387,20963,1.09,0.17,BRCA2-9
179B,13-047.814761,652,17667,1,0.1,RB1-3
179B,13-047.948892,988,20561,1,0.12,RB1-25
179B,13-049.521254,2672,25992,1.05,0.13,MIR15A-1
179B,13-049.576833,1858,16554,1.04,0.19,DLEU1-2
179B,16-002.038612,1240,10826,0.95,0.1,TSC2-1
179B,16-002.067648,512,10389,1.04,0.12,TSC2-25
179B,16-002.076651,800,15500,1.11,0.16,TSC2-38
179B,17-007.514677,0,0,0,0,TP53-10
179B,17-007.519217,1014,18290,0.98,0.1,TP53-4b
179B,17-007.531504,1083,21536,1.11,0.15,TP53-1
179B,17-026.577746,548,13078,1.05,0.11,NF1-18
179B,17-026.681489,1320,19388,1.08,0.13,NF1-39
179B,17-038.450829,759,17728,1.02,0.1,BRCA1-24
179B,17-038.479889,1256,25428,1.12,0.14,BRCA1-15
179B,17-038.510430,1044,13679,1.13,0.18,BRCA1-6
179B,18-046.829678,1174,20126,1.18,0.18,SMAD4-4
179B,18-046.858705,0,0,0,0,SMAD4-12
179B,19-001.157954,1126,13141,1,0.11,STK11-1
179B,19-001.170331,736,10225,0.96,0.1,STK11-3
179B,19-018.503959,722,12728,0.98,0.1,FKBP8-9
179B,19-018.511130,896,11743,0.93,0.1,FKBP8-4
179B,22-022.459352,729,14846,1.03,0.14,SMARCB1-1
179B,22-022.506421,950,12396,1.03,0.1,SMARCB1-9
179B,X-063.326842,0,0,0,0,AMER1-2
179B,X-063.342134,726,7487,0.82,0.15,AMER1-1
179B,02-061.126370,441,17040,0.91,0.11,References PEX13
179B,02-189.557818,1502,19351,1.04,0.11,References COL3A1
179B,04-001.902193,0,0,0,0,References WHSC1
179B,04-187.390323,1709,18756,1.08,0.14,References KLKB1
179B,05-132.037607,1650,14742,0.92,0.13,References IL4
179B,06-065.588251,1011,19380,1.2,0.19,References EYS
179B,06-108.321498,729,17240,1.04,0.12,References SEC63
179B,11-095.238425,755,12578,1,0.11,References MTMR2
179B,14-022.972596,1416,14648,0.95,0.1,References MYH7
179B,15-042.653071,536,12443,0.9,0.11,References SPG11
179B,16-080.537323,781,15699,1,0.09,References PLCG2
179B,21-037.919589,1297,18312,1.3,0.33,References KCNJ6
179C,01-001.274237,1180,8927,0.78,0.16,DVL1-1
179C,01-003.150503,729,9272,0.79,0.16,PRDM16-3
179C,01-006.150830,830,10984,1.03,0.28,CHD5-2
179C,01-007.727575,1674,16249,0.99,0.14,CAMTA1-18
179C,01-010.214967,2119,16099,1.01,0.16,KIF1B-2
179C,03-010.158544,1598,15737,0.88,0.18,VHL-1
179C,03-010.163233,1657,19386,1.24,0.17,VHL-2
179C,03-059.972109,1377,13817,1.1,0.18,FHIT-7
179C,03-060.782680,1628,17079,1.16,0.21,FHIT-4
179C,05-112.182873,1185,10706,0.97,0.13,APC-12
179C,05-112.206814,879,10838,1,1,APC-18
179C,09-021.958641,2013,22663,1.05,0.18,CDKN2A-4
179C,09-021.961213,1494,11421,0.82,0.11,CDKN2A-3
179C,09-021.998809,1097,14293,0.83,1,CDKN2B-1
179C,09-097.258441,1812,16018,0.88,0.11,PTCH1-20
179C,09-097.284232,1393,13664,1.09,0.14,PTCH1-5
179C,09-134.767854,2118,20702,0.9,1,TSC1-18
179C,09-134.809748,1672,16561,0.88,0.15,TSC1-1
179C,10-089.680713,942,10530,0.7,0.11,PTEN-4
179C,10-089.682864,1106,12770,0.68,0.1,PTEN-5
179C,10-089.710865,1098,13128,0.86,0.16,PTEN-8
179C,11-032.366613,1496,19319,1.17,0.24,WT1-11
179C,11-032.413841,1164,11405,0.75,0.13,WT1-1
179C,13-031.791351,1983,15376,1,0.15,BRCA2-3
179C,13-031.803112,2294,20402,1,0.15,BRCA2-9
179C,13-047.814761,1670,21645,1.13,0.15,RB1-3
179C,13-047.948892,2453,25680,1.16,0.16,RB1-25
179C,13-049.521254,3523,27065,1.05,0.14,MIR15A-1
179C,13-049.576833,2579,20172,1.22,0.21,DLEU1-2
179C,16-002.038612,1669,12200,1.04,0.15,TSC2-1
179C,16-002.067648,857,10021,0.94,0.14,TSC2-25
179C,16-002.076651,1320,11685,0.8,0.13,TSC2-38
179C,17-007.514677,936,12237,0.83,1,TP53-10
179C,17-007.519217,1662,17770,0.9,0.12,TP53-4b
179C,17-007.531504,1856,18878,0.92,0.14,TP53-1
179C,17-026.577746,1104,13830,1.03,0.13,NF1-18
179C,17-026.681489,2070,18535,0.98,0.12,NF1-39
179C,17-038.450829,1526,19305,1.03,0.13,BRCA1-24
179C,17-038.479889,2149,23133,0.96,0.13,BRCA1-15
179C,17-038.510430,1484,12894,1.01,0.15,BRCA1-6
179C,18-046.829678,1942,21416,1.17,0.17,SMAD4-4
179C,18-046.858705,1465,19083,1,1,SMAD4-12
179C,19-001.157954,1528,12641,0.92,0.14,STK11-1
179C,19-001.170331,1047,9458,0.85,0.13,STK11-3
179C,19-018.503959,1118,11231,0.82,0.13,FKBP8-9
179C,19-018.511130,1333,11620,0.88,0.14,FKBP8-4
179C,22-022.459352,1392,14417,0.94,0.17,SMARCB1-1
179C,22-022.506421,1174,9402,0.75,0.1,SMARCB1-9
179C,X-063.326842,429,4774,1,1,AMER1-2
179C,X-063.342134,1169,8815,0.94,0.22,AMER1-1
179C,02-061.126370,1836,24198,1.19,0.2,References PEX13
179C,02-189.557818,2309,19416,0.99,0.13,References COL3A1
179C,04-001.902193,1200,15764,0.9,1,References WHSC1
179C,04-187.390323,2958,23469,1.29,0.17,References KLKB1
179C,05-132.037607,2756,20068,1.21,0.21,References IL4
179C,06-065.588251,1666,17959,1.03,0.16,References EYS
179C,06-108.321498,1248,15577,0.87,0.11,References SEC63
179C,11-095.238425,1437,13009,0.98,0.15,References MTMR2
179C,14-022.972596,1764,13552,0.85,0.12,References MYH7
179C,15-042.653071,1319,16513,1.12,0.19,References SPG11
179C,16-080.537323,1327,15773,0.94,0.13,References PLCG2
179C,21-037.919589,1503,11854,0.81,0.18,References KCNJ6
179D,01-001.274237,900,11219,1.18,0.26,DVL1-1
179D,01-003.150503,437,11154,1.28,0.29,PRDM16-3
179D,01-006.150830,401,10277,1.31,0.38,CHD5-2
179D,01-007.727575,744,14492,1.16,0.18,CAMTA1-18
179D,01-010.214967,1260,13915,1.06,0.17,KIF1B-2
179D,03-010.158544,861,17262,1.22,0.26,VHL-1
179D,03-010.163233,704,16828,1.41,0.21,VHL-2
179D,03-059.972109,690,13708,1.39,0.23,FHIT-7
179D,03-060.782680,797,15507,1.36,0.23,FHIT-4
179D,05-112.182873,567,9658,1.11,0.16,APC-12
179D,05-112.206814,391,9273,1.16,1,APC-18
179D,09-021.958641,892,17032,0.98,0.18,CDKN2A-4
179D,09-021.961213,979,11659,1.02,0.15,CDKN2A-3
179D,09-021.998809,516,13151,1.03,1,CDKN2B-1
179D,09-097.258441,828,13437,0.91,0.12,PTCH1-20
179D,09-097.284232,642,11404,1.16,0.16,PTCH1-5
179D,09-134.767854,1324,18975,1.08,1,TSC1-18
179D,09-134.809748,946,16285,1.09,0.2,TSC1-1
179D,10-089.680713,400,8660,0.75,0.11,PTEN-4
179D,10-089.682864,488,10667,0.75,0.1,PTEN-5
179D,10-089.710865,351,8595,0.74,0.14,PTEN-8
179D,11-032.366613,582,14182,1.16,0.26,WT1-11
179D,11-032.413841,687,11533,0.95,0.18,WT1-1
179D,13-031.791351,968,11666,0.93,0.14,BRCA2-3
179D,13-031.803112,1114,17515,1.07,0.16,BRCA2-9
179D,13-047.814761,750,17000,1.2,0.17,RB1-3
179D,13-047.948892,841,19182,1.14,0.17,RB1-25
179D,13-049.521254,1698,19286,0.91,0.12,MIR15A-1
179D,13-049.576833,1478,14831,1.08,0.19,DLEU1-2
179D,16-002.038612,1195,12613,1.29,0.21,TSC2-1
179D,16-002.067648,558,12964,1.58,0.25,TSC2-25
179D,16-002.076651,758,12892,1.09,0.18,TSC2-38
179D,17-007.514677,466,12495,1.16,1,TP53-10
179D,17-007.519217,757,16598,1.06,0.16,TP53-4b
179D,17-007.531504,863,16833,1.05,0.16,TP53-1
179D,17-026.577746,489,10893,1.07,0.14,NF1-18
179D,17-026.681489,903,14056,0.93,0.12,NF1-39
179D,17-038.450829,593,16132,1.13,0.16,BRCA1-24
179D,17-038.479889,944,20726,1.11,0.15,BRCA1-15
179D,17-038.510430,695,10453,1.01,0.15,BRCA1-6
179D,18-046.829678,673,14759,1.05,0.15,SMAD4-4
179D,18-046.858705,525,14644,1.04,1,SMAD4-12
179D,19-001.157954,843,11879,1.07,0.17,STK11-1
179D,19-001.170331,724,10784,1.2,0.2,STK11-3
179D,19-018.503959,676,11729,1.08,0.18,FKBP8-9
179D,19-018.511130,892,12847,1.21,0.21,FKBP8-4
179D,22-022.459352,701,14426,1.21,0.23,SMARCB1-1
179D,22-022.506421,861,12117,1.18,0.16,SMARCB1-9
179D,X-063.326842,216,4379,1.25,1,AMER1-2
179D,X-063.342134,688,8609,1.1,0.28,AMER1-1
179D,02-061.126370,583,16820,1.12,0.21,References PEX13
179D,02-189.557818,1009,15034,0.95,0.13,References COL3A1
179D,04-001.902193,529,14304,1.11,1,References WHSC1
179D,04-187.390323,1372,17651,1.2,0.16,References KLKB1
179D,05-132.037607,1503,15623,1.13,0.22,References IL4
179D,06-065.588251,735,14468,1.08,0.16,References EYS
179D,06-108.321498,384,9373,0.7,0.09,References SEC63
179D,11-095.238425,627,9807,0.93,0.16,References MTMR2
179D,14-022.972596,1171,13690,1.04,0.17,References MYH7
179D,15-042.653071,508,12423,1.11,0.21,References SPG11
179D,16-080.537323,466,10900,0.85,0.12,References PLCG2
179D,21-037.919589,1081,11753,0.96,0.21,References KCNJ6
179E,01-001.274237,453,6206,0.63,0.17,DVL1-1
179E,01-003.150503,414,7455,0.61,0.16,PRDM16-3
179E,01-006.150830,341,8978,0.8,0.24,CHD5-2
179E,01-007.727575,910,14402,0.88,0.19,CAMTA1-18
179E,01-010.214967,1194,15962,1.13,0.26,KIF1B-2
179E,03-010.158544,689,11093,0.66,0.19,VHL-1
179E,03-010.163233,994,17238,1.09,0.24,VHL-2
179E,03-059.972109,1144,20545,1.72,0.42,FHIT-7
179E,03-060.782680,1300,22410,1.57,0.4,FHIT-4
179E,05-112.182873,637,9983,0.94,0.21,APC-12
179E,05-112.206814,648,12906,1.2,1,APC-18
179E,09-021.958641,537,11278,0.57,0.13,CDKN2A-4
179E,09-021.961213,697,8521,0.7,0.15,CDKN2A-3
179E,09-021.998809,435,10331,0.62,1,CDKN2B-1
179E,09-097.258441,516,9244,0.56,0.12,PTCH1-20
179E,09-097.284232,951,15722,1.31,0.3,PTCH1-5
179E,09-134.767854,1378,17067,0.8,1,TSC1-18
179E,09-134.809748,677,11907,0.68,0.17,TSC1-1
179E,10-089.680713,782,14602,0.99,0.24,PTEN-4
179E,10-089.682864,872,16985,0.92,0.21,PTEN-5
179E,10-089.710865,669,15598,1.01,0.25,PTEN-8
179E,11-032.366613,952,20508,1.18,0.3,WT1-11
179E,11-032.413841,397,7049,0.5,0.13,WT1-1
179E,13-031.791351,1156,13785,1,0.23,BRCA2-3
179E,13-031.803112,1286,20599,1.09,0.25,BRCA2-9
179E,13-047.814761,1334,26029,1.29,0.28,RB1-3
179E,13-047.948892,1460,26984,1.21,0.26,RB1-25
179E,13-049.521254,2183,27848,1.22,0.27,MIR15A-1
179E,13-049.576833,1706,19823,1.36,0.33,DLEU1-2
179E,16-002.038612,953,10967,1.07,0.24,TSC2-1
179E,16-002.067648,370,6493,0.62,0.15,TSC2-25
179E,16-002.076651,286,5346,0.41,0.11,TSC2-38
179E,17-007.514677,438,10269,0.71,1,TP53-10
179E,17-007.519217,668,12588,0.68,0.15,TP53-4b
179E,17-007.531504,964,15281,0.78,0.19,TP53-1
179E,17-026.577746,645,13099,0.95,0.21,NF1-18
179E,17-026.681489,1361,22224,1.27,0.28,NF1-39
179E,17-038.450829,1183,21662,1.16,0.25,BRCA1-24
179E,17-038.479889,1292,24411,1.05,0.24,BRCA1-15
179E,17-038.510430,896,14349,1.24,0.29,BRCA1-6
179E,18-046.829678,1326,22681,1.27,0.3,SMAD4-4
179E,18-046.858705,776,18985,1.01,1,SMAD4-12
179E,19-001.157954,491,7355,0.6,0.14,STK11-1
179E,19-001.170331,398,6444,0.63,0.15,STK11-3
179E,19-018.503959,463,8097,0.63,0.15,FKBP8-9
179E,19-018.511130,541,7827,0.64,0.15,FKBP8-4
179E,22-022.459352,726,9868,0.67,0.18,SMARCB1-1
179E,22-022.506421,434,6633,0.59,0.13,SMARCB1-9
179E,X-063.326842,0,0,0,0,AMER1-2
179E,X-063.342134,347,5530,0.67,0.19,AMER1-1
179E,02-061.126370,690,25895,1.2,0.28,References PEX13
179E,02-189.557818,1261,18608,1.04,0.23,References COL3A1
179E,04-001.902193,528,13941,0.8,1,References WHSC1
179E,04-187.390323,1548,23574,1.45,0.32,References KLKB1
179E,05-132.037607,1470,17577,1.22,0.29,References IL4
179E,06-065.588251,1232,21557,1.27,0.31,References EYS
179E,06-108.321498,816,15682,0.85,0.18,References SEC63
179E,11-095.238425,947,14067,1.12,0.27,References MTMR2
179E,14-022.972596,645,9200,0.65,0.14,References MYH7
179E,15-042.653071,557,10896,0.72,0.17,References SPG11
179E,16-080.537323,874,14424,0.87,0.19,References PLCG2
179E,21-037.919589,891,11454,0.91,0.26,References KCNJ6
179G,01-001.274237,1452,10493,0.91,0.2,DVL1-1
179G,01-003.150503,896,9530,0.92,0.2,PRDM16-3
179G,01-006.150830,1050,11591,1.25,0.34,CHD5-2
179G,01-007.727575,1772,15712,1.05,0.16,CAMTA1-18
179G,01-010.214967,2606,17964,1.13,0.19,KIF1B-2
179G,03-010.158544,1679,14059,0.83,0.18,VHL-1
179G,03-010.163233,1713,16175,1.13,0.17,VHL-2
179G,03-059.972109,1810,15409,1.29,0.23,FHIT-7
179G,03-060.782680,1696,14493,1.06,0.2,FHIT-4
179G,05-112.182873,1454,11820,1.13,0.16,APC-12
179G,05-112.206814,1119,11567,1.22,1,APC-18
179G,09-021.958641,2100,18623,0.88,0.16,CDKN2A-4
179G,09-021.961213,1773,12339,0.88,0.13,CDKN2A-3
179G,09-021.998809,1235,13043,0.86,1,CDKN2B-1
179G,09-097.258441,1948,14915,0.83,0.12,PTCH1-20
179G,09-097.284232,1732,14404,1.22,0.18,PTCH1-5
179G,09-134.767854,2251,18675,0.88,1,TSC1-18
179G,09-134.809748,1977,15900,0.88,0.16,TSC1-1
179G,10-089.680713,982,8860,0.64,0.1,PTEN-4
179G,10-089.682864,1257,11950,0.7,0.11,PTEN-5
179G,10-089.710865,1002,10017,0.73,0.14,PTEN-8
179G,11-032.366613,1699,18053,1.25,0.26,WT1-11
179G,11-032.413841,1411,11365,0.77,0.15,WT1-1
179G,13-031.791351,2274,15863,1.05,0.17,BRCA2-3
179G,13-031.803112,2714,20963,1.06,0.17,BRCA2-9
179G,13-047.814761,1870,20499,1.22,0.18,RB1-3
179G,13-047.948892,2398,21847,1.09,0.16,RB1-25
179G,13-049.521254,3685,26031,1.01,0.14,MIR15A-1
179G,13-049.576833,2823,19452,1.17,0.21,DLEU1-2
179G,16-002.038612,1886,12843,1.08,0.17,TSC2-1
179G,16-002.067648,1049,10043,1.02,0.17,TSC2-25
179G,16-002.076651,1505,11964,0.83,0.15,TSC2-38
179G,17-007.514677,1095,12138,0.95,1,TP53-10
179G,17-007.519217,2103,17861,0.95,0.14,TP53-4b
179G,17-007.531504,2126,17820,0.93,0.16,TP53-1
179G,17-026.577746,1245,12922,1.07,0.15,NF1-18
179G,17-026.681489,2493,19097,1.04,0.15,NF1-39
179G,17-038.450829,1937,19493,1.14,0.16,BRCA1-24
179G,17-038.479889,2644,23807,1.06,0.16,BRCA1-15
179G,17-038.510430,1767,13317,1.06,0.17,BRCA1-6
179G,18-046.829678,2058,18355,1.09,0.17,SMAD4-4
179G,18-046.858705,1766,19228,1.15,1,SMAD4-12
179G,19-001.157954,1794,13698,1.02,0.17,STK11-1
179G,19-001.170331,1324,10454,0.96,0.16,STK11-3
179G,19-018.503959,1372,11703,0.89,0.15,FKBP8-9
179G,19-018.511130,1638,12490,0.98,0.17,FKBP8-4
179G,22-022.459352,1475,12648,0.88,0.17,SMARCB1-1
179G,22-022.506421,1531,10953,0.88,0.13,SMARCB1-9
179G,X-063.326842,366,3601,0.87,1,AMER1-2
179G,X-063.342134,1156,7897,0.83,0.2,AMER1-1
179G,02-061.126370,1937,22182,1.25,0.22,References PEX13
179G,02-189.557818,2531,19035,1,0.14,References COL3A1
179G,04-001.902193,1468,16149,1.05,1,References WHSC1
179G,04-187.390323,3524,25020,1.4,0.2,References KLKB1
179G,05-132.037607,2861,19586,1.16,0.21,References IL4
179G,06-065.588251,2038,18043,1.12,0.19,References EYS
179G,06-108.321498,1100,11579,0.73,0.1,References SEC63
179G,11-095.238425,1546,12016,0.95,0.17,References MTMR2
179G,14-022.972596,1926,13619,0.85,0.13,References MYH7
179G,15-042.653071,1319,13634,1.03,0.18,References SPG11
179G,16-080.537323,1512,14843,0.97,0.14,References PLCG2
179G,21-037.919589,1859,13940,0.94,0.21,References KCNJ6
179L,01-001.274237,664,5254,0.62,0.22,DVL1-1
179L,01-003.150503,519,6001,0.57,0.2,PRDM16-3
179L,01-006.150830,668,7909,0.82,0.31,CHD5-2
179L,01-007.727575,1079,10188,0.73,0.22,CAMTA1-18
179L,01-010.214967,1907,14465,1.21,0.37,KIF1B-2
179L,03-010.158544,640,5817,0.4,0.14,VHL-1
179L,03-010.163233,1414,14220,1.05,0.32,VHL-2
179L,03-059.972109,1933,17545,1.72,0.54,FHIT-7
179L,03-060.782680,1904,17020,1.4,0.45,FHIT-4
179L,05-112.182873,1046,9106,1.01,0.3,APC-12
179L,05-112.206814,954,10508,1.15,1,APC-18
179L,09-021.958641,938,10577,0.63,0.2,CDKN2A-4
179L,09-021.961213,690,5394,0.52,0.16,CDKN2A-3
179L,09-021.998809,618,6712,0.47,1,CDKN2B-1
179L,09-097.258441,771,6384,0.45,0.14,PTCH1-20
179L,09-097.284232,1761,15735,1.54,0.47,PTCH1-5
179L,09-134.767854,1426,12431,0.68,1,TSC1-18
179L,09-134.809748,958,8928,0.59,0.19,TSC1-1
179L,10-089.680713,1777,17756,1.42,0.44,PTEN-4
179L,10-089.682864,1706,17056,1.08,0.33,PTEN-5
179L,10-089.710865,1563,16237,1.24,0.4,PTEN-8
179L,11-032.366613,1426,16293,1.1,0.37,WT1-11
179L,11-032.413841,461,4099,0.34,0.11,WT1-1
179L,13-031.791351,1964,15018,1.28,0.39,BRCA2-3
179L,13-031.803112,2355,18963,1.18,0.36,BRCA2-9
179L,13-047.814761,2220,26109,1.52,0.46,RB1-3
179L,13-047.948892,2747,26073,1.37,0.41,RB1-25
179L,13-049.521254,3483,26590,1.37,0.41,MIR15A-1
179L,13-049.576833,2694,20307,1.64,0.52,DLEU1-2
179L,16-002.038612,1278,9238,1.05,0.32,TSC2-1
179L,16-002.067648,509,4949,0.55,0.18,TSC2-25
179L,16-002.076651,434,4084,0.37,0.12,TSC2-38
179L,17-007.514677,700,8244,0.66,1,TP53-10
179L,17-007.519217,1250,11883,0.75,0.23,TP53-4b
179L,17-007.531504,1399,12651,0.75,0.24,TP53-1
179L,17-026.577746,1159,12523,1.07,0.32,NF1-18
179L,17-026.681489,2679,22211,1.48,0.44,NF1-39
179L,17-038.450829,1976,21007,1.31,0.39,BRCA1-24
179L,17-038.479889,2264,21508,1.07,0.33,BRCA1-15
179L,17-038.510430,1881,15370,1.56,0.48,BRCA1-6
179L,18-046.829678,2397,22195,1.45,0.45,SMAD4-4
179L,18-046.858705,1427,16228,1.01,1,SMAD4-12
179L,19-001.157954,717,5787,0.55,0.17,STK11-1
179L,19-001.170331,641,5671,0.65,0.2,STK11-3
179L,19-018.503959,689,6404,0.58,0.19,FKBP8-9
179L,19-018.511130,777,6542,0.63,0.2,FKBP8-4
179L,22-022.459352,806,7354,0.58,0.2,SMARCB1-1
179L,22-022.506421,611,4739,0.5,0.15,SMARCB1-9
