Sample,,Probe target info,Height,Area,Intra ratio,Pre ratio,Final ratio,Stdev,RefPop,SamPop,d(nt),Width
167b,[19p (n=4)].[STK11-3],19-001.170331,2233,16889,1.1,1.18,1.09,0.12,Equal,Equal,-0.02,63
167b,[19p (n=4)].[FKBP8-9],19-018.503959,2491,20335,1.12,1.17,1.12,0.14,Equal,Equal,0,60
167b,[19p (n=4)].[FKBP8-4],19-018.511130,2726,19923,1.1,1.19,1.1,0.12,Equal,Equal,-0.04,45
167b,[22q (n=2)].[SMARCB1-1],22-022.459352,2659,22156,1.16,1.16,1.16,0.2,Equal,Equal,-0.01,57
167b,[22q (n=2)].[SMARCB1-9],22-022.506421,2714,18665,1.03,1.15,1.02,0.1,Equal,Equal,-0.01,42
167b,[Xq (n=2)].[AMER1-2],X-063.326842,480,4791,1.01,0.88,1.01,1,Equal,Equal,0.03,40
167b,[Xq (n=2)].[AMER1-1],X-063.342134,2648,17120,1.2,1.4,1.18,0.2,Equal,Equal,0,33
167b,[References (n=12)].[PEX13*],02-061.126370,1853,21293,1.06,0.9,1.04,0.1,Equal,Equal,0.02,78
167b,[References (n=12)].[COL3A1*],02-189.557818,3603,26137,0.96,1.04,0.96,0.09,Equal,Equal,-0.05,44
167b,[References (n=12)].[WHSC1*],04-001.902193,1717,18783,1.05,0.93,1.06,1,Equal,Equal,0.04,59
167b,[References (n=12)].[KLKB1*],04-187.390323,3533,24098,0.93,1.03,0.93,0.1,Equal,Equal,-0.05,45
167b,[References (n=12)].[IL4*],05-132.037607,3680,24673,0.97,1.13,0.96,0.1,Equal,Equal,0.01,44
167b,[References (n=12)].[EYS*],06-065.588251,2178,18943,0.9,0.89,0.91,0.14,Equal,Equal,-0.02,55
167b,[References (n=12)].[SEC63*],06-108.321498,1729,18303,0.96,0.86,0.95,0.09,Equal,Equal,0,61
167b,[References (n=12)].[MTMR2*],11-095.238425,2590,19525,1.13,1.17,1.13,0.15,Equal,Equal,-0.04,41
167b,[References (n=12)].[MYH7*],14-022.972596,3553,24151,1.03,1.17,1.03,0.09,Equal,Equal,0,50
167b,[References (n=12)].[SPG11*],15-042.653071,1759,17912,1.1,1,1.09,0.12,Equal,Equal,0.02,44
167b,[References (n=12)].[PLCG2*],16-080.537323,2193,20416,1.04,0.99,1.04,0.1,Equal,Equal,0.01,55
167b,[References (n=12)].[KCNJ6*],21-037.919589,2442,17666,0.78,0.91,0.78,0.18,Equal,Equal,-0.02,52
167C,[01p (n=5)].[DVL1-1],01-001.274237,996,8853,0.81,0.87,0.8,0.2,Equal,Equal,0.07,44
167C,[01p (n=5)].[PRDM16-3],01-003.150503,679,9444,0.87,0.97,0.88,0.21,Equal,Equal,-0.22,59
167C,[01p (n=5)].[CHD5-2],01-006.150830,654,9429,0.96,1.09,0.97,0.26,Equal,Equal,-0.12,51
167C,[01p (n=5)].[CAMTA1-18],01-007.727575,1164,12654,0.83,0.92,0.83,0.13,Equal,Equal,-0.02,52
167C,[01p (n=5)].[KIF1B-2],01-010.214967,1704,14516,0.94,1.01,0.94,0.15,Equal,Equal,0.06,41
