Sample,,Probe target info,Height,Area,Intra ratio,Pre ratio,Final ratio,Stdev,RefPop,SamPop,d(nt),Width
167E,[09q (n=4)].[PTCH1-20],09-097.258441,1838,15944,1.05,1.3,1.1,0.55,Equal,Equal,-0.04,49
167E,[09q (n=4)].[PTCH1-5],09-097.284232,891,8604,1.21,1.06,1.27,0.63,Equal,Equal,0.02,49
167E,[09q (n=4)].[TSC1-18],09-134.767854,777,7667,0.66,0.53,0.66,1,Ambiguous,Ambiguous,0.02,63
167E,[09q (n=4)].[TSC1-1],09-134.809748,1802,16736,1.29,1.35,1.36,0.71,Ambiguous,Ambiguous,-0.05,54
167E,[10q (n=3)].[PTEN-4],10-089.680713,665,8083,1.24,0.85,1.3,0.64,Ambiguous,Ambiguous,0.02,63
167E,[10q (n=3)].[PTEN-5],10-089.682864,544,6576,0.91,0.56,0.95,0.47,Equal,Equal,-0.1,52
167E,[10q (n=3)].[PTEN-8],10-089.710865,0,0,0,0,0,0,<<<,<<<,0,0
167E,[11p (n=2)].[WT1-11],11-032.366613,0,0,0,0,0,0,<<<,<<<,0,0
167E,[11p (n=2)].[WT1-1],11-032.413841,1469,13503,1.25,1.33,1.32,0.7,Ambiguous,Ambiguous,-0.02,81
167E,[13q (n=6)].[BRCA2-3],13-031.791351,2024,15600,1.16,1.51,1.22,0.6,Equal,Equal,0,45
167E,[13q (n=6)].[BRCA2-9],13-031.803112,1652,14573,0.97,1.08,1.02,0.51,Equal,Equal,-0.07,55
167E,[13q (n=6)].[RB1-3],13-047.814761,0,0,0,0,0,0,<<<,<<<,0,0
167E,[13q (n=6)].[RB1-25],13-047.948892,243,2682,0.37,0.19,0.39,0.2,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,0.03,35
167E,[13q (n=6)].[MIR15A-1],13-049.521254,2453,17996,0.75,1.03,0.78,0.39,Equal,Equal,0,39
167E,[13q (n=6)].[DLEU1-2],13-049.576833,3086,23600,1.45,2.08,1.53,0.78,Ambiguous,Ambiguous,0.02,60
167E,[16p (n=3)].[TSC2-1],16-002.038612,3640,25698,2.2,3.21,2.31,1.19,Increased1StdDevAboveArbitraryBorder,Ambiguous,0.05,46
167E,[16p (n=3)].[TSC2-25],16-002.067648,270,3366,0.75,0.49,0.79,0.4,Equal,Equal,-0.04,46
167E,[16p (n=3)].[TSC2-38],16-002.076651,2661,22463,1.75,2.31,1.82,0.93,Ambiguous,Ambiguous,-0.01,42
167E,[17p (n=3)].[TP53-10],17-007.514677,0,0,0,0,0,0,<<<,<<<,0,0
167E,[17p (n=3)].[TP53-4b],17-007.519217,758,7588,0.59,0.59,0.62,0.32,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.13,47
167E,[17p (n=3)].[TP53-1],17-007.531504,1843,17526,1.55,1.31,1.64,0.82,Ambiguous,Ambiguous,0,50
167E,[17q (n=5)].[NF1-18],17-026.577746,256,3245,0.9,0.39,0.94,0.47,Equal,Equal,-0.05,36
167E,[17q (n=5)].[NF1-39],17-026.681489,1466,12187,0.89,0.97,0.94,0.46,Equal,Equal,-0.04,52
167E,[17q (n=5)].[BRCA1-24],17-038.450829,402,5267,0.78,0.44,0.82,0.41,Equal,Equal,-0.12,50
167E,[17q (n=5)].[BRCA1-15],17-038.479889,719,8003,0.66,0.51,0.7,0.34,Equal,Equal,-0.05,57
167E,[17q (n=5)].[BRCA1-6],17-038.510430,1051,9347,0.89,1.09,0.94,0.46,Equal,Equal,-0.08,45
167E,[18q (n=2)].[SMAD4-4],18-046.829678,608,6873,0.84,0.59,0.87,0.43,Equal,Equal,0.01,52
167E,[18q (n=2)].[SMAD4-12],18-046.858705,310,4514,0.98,0.4,0.96,1,Equal,Equal,0.01,56
167E,[19p (n=4)].[STK11-1],19-001.157954,1287,10036,0.87,1.1,0.91,0.47,Equal,Equal,-0.05,44
167E,[19p (n=4)].[STK11-3],19-001.170331,1964,17301,2.01,2.32,2.12,1.1,Ambiguous,Ambiguous,-0.02,45
167E,[19p (n=4)].[FKBP8-9],19-018.503959,692,7094,0.77,0.78,0.81,0.42,Equal,Equal,-0.04,51
167E,[19p (n=4)].[FKBP8-4],19-018.511130,2779,23212,2.33,2.65,2.46,1.29,Increased1StdDevAboveArbitraryBorder,Ambiguous,0.03,56
167E,[22q (n=2)].[SMARCB1-1],22-022.459352,1952,20204,2.47,2.03,2.62,1.36,Increased1StdDevAboveArbitraryBorder,Ambiguous,0.01,43
167E,[22q (n=2)].[SMARCB1-9],22-022.506421,1752,13756,1.21,1.62,1.27,0.64,Equal,Equal,0.02,60
167E,[Xq (n=2)].[AMER1-2],X-063.326842,0,0,0,0,0,0,<<<,<<<,0,0
167E,[Xq (n=2)].[AMER1-1],X-063.342134,2762,20861,2.16,3.26,2.28,1.31,Ambiguous,Ambiguous,-0.02,51
167E,[References (n=12)].[PEX13*],02-061.126370,265,3330,1.66,0.27,1.74,0.92,Ambiguous,Ambiguous,-0.07,45
167E,[References (n=12)].[COL3A1*],02-189.557818,3747,29939,1.95,2.29,2.05,1.02,Ambiguous,Ambiguous,0.05,48
167E,[References (n=12)].[WHSC1*],04-001.902193,322,4230,1.22,0.41,1.19,1,Equal,Equal,-0.13,52
167E,[References (n=12)].[KLKB1*],04-187.390323,1744,13984,0.9,1.15,0.94,0.47,Equal,Equal,-0.06,63
167E,[References (n=12)].[IL4*],05-132.037607,6432,45427,2.6,3.98,2.75,1.46,Increased1StdDevAboveArbitraryBorder,Ambiguous,-0.01,46
167E,[References (n=12)].[EYS*],06-065.588251,430,4652,0.58,0.42,0.6,0.3,Ambiguous,Decreased1StdDevBelowArbitraryBorder,-0.04,46
167E,[References (n=12)].[SEC63*],06-108.321498,202,2640,0.67,0.24,0.7,0.35,Equal,Equal,0.03,41
167E,[References (n=12)].[MTMR2*],11-095.238425,1431,13072,1.56,1.49,1.65,0.85,Ambiguous,Ambiguous,0.04,47
167E,[References (n=12)].[MYH7*],14-022.972596,1394,10206,0.7,0.94,0.73,0.38,Equal,Equal,-0.03,34
167E,[References (n=12)].[SPG11*],15-042.653071,220,3058,0.73,0.33,0.77,0.41,Equal,Equal,-0.08,46
167E,[References (n=12)].[PLCG2*],16-080.537323,200,2625,0.39,0.25,0.41,0.21,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.07,48
167E,[References (n=12)].[KCNJ6*],21-037.919589,2444,17696,1.13,1.75,1.18,0.61,Equal,Equal,-0.03,48
167G,[01p (n=5)].[DVL1-1],01-001.274237,1377,10388,0.74,0.99,0.73,0.23,Equal,Equal,0,45
167G,[01p (n=5)].[PRDM16-3],01-003.150503,808,9311,0.85,0.92,0.87,0.26,Equal,Equal,-0.06,60
167G,[01p (n=5)].[CHD5-2],01-006.150830,701,8235,0.85,0.91,0.86,0.26,Equal,Equal,-0.03,55
167G,[01p (n=5)].[CAMTA1-18],01-007.727575,1518,14213,0.86,1,0.87,0.21,Equal,Equal,0.05,49
167G,[01p (n=5)].[KIF1B-2],01-010.214967,3142,22663,1.15,1.53,1.18,0.3,Equal,Equal,0,39
167G,[03p (n=4)].[VHL-1],03-010.158544,1138,10258,0.52,0.64,0.53,0.17,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.12,43
167G,[03p (n=4)].[VHL-2],03-010.163233,970,9908,0.63,0.73,0.64,0.16,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.02,49
167G,[03p (n=4)].[FHIT-7],03-059.972109,1550,14096,1.02,1.25,1.04,0.28,Equal,Equal,-0.07,44
167G,[03p (n=4)].[FHIT-4],03-060.782680,1569,14627,0.95,1.13,0.97,0.28,Equal,Equal,-0.06,49
167G,[05q (n=2)].[APC-12],05-112.182873,1353,11807,0.97,1.19,0.99,0.25,Equal,Equal,0.03,63
167G,[05q (n=2)].[APC-18],05-112.206814,990,10924,1.12,1.24,1.13,1,Equal,Equal,0.06,52
167G,[09p (n=3)].[CDKN2A-4],09-021.958641,1334,13601,0.54,0.69,0.54,0.14,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.03,80
167G,[09p (n=3)].[CDKN2A-3],09-021.961213,1230,9014,0.53,0.7,0.53,0.13,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.07,47
167G,[09p (n=3)].[CDKN2B-1],09-021.998809,696,7830,0.48,0.54,0.5,1,Ambiguous,Ambiguous,0.09,51
167G,[09q (n=4)].[PTCH1-20],09-097.258441,2331,18634,0.86,1.11,0.87,0.23,Equal,Equal,-0.05,53
167G,[09q (n=4)].[PTCH1-5],09-097.284232,1801,16599,1.22,1.49,1.25,0.33,Equal,Equal,-0.03,50
167G,[09q (n=4)].[TSC1-18],09-134.767854,2438,21959,0.93,1.11,0.97,1,Equal,Equal,0.01,48
167G,[09q (n=4)].[TSC1-1],09-134.809748,1887,16723,0.79,0.98,0.8,0.22,Equal,Equal,-0.06,63
167G,[10q (n=3)].[PTEN-4],10-089.680713,1602,16175,1.05,1.24,1.07,0.3,Equal,Equal,-0.05,59
167G,[10q (n=3)].[PTEN-5],10-089.682864,1792,18008,0.96,1.11,0.97,0.26,Equal,Equal,-0.06,47
167G,[10q (n=3)].[PTEN-8],10-089.710865,1321,14118,0.95,1.08,0.96,0.26,Equal,Equal,0,47
167G,[11p (n=2)].[WT1-11],11-032.366613,1330,15926,1.06,1.15,1.06,0.27,Equal,Equal,0,70
167G,[11p (n=2)].[WT1-1],11-032.413841,1594,13936,0.8,1.01,0.82,0.24,Equal,Equal,-0.09,48
167G,[13q (n=6)].[BRCA2-3],13-031.791351,2174,15701,0.85,1.11,0.87,0.23,Equal,Equal,-0.09,43
167G,[13q (n=6)].[BRCA2-9],13-031.803112,2426,19839,0.84,1.07,0.86,0.22,Equal,Equal,-0.07,52
167G,[13q (n=6)].[RB1-3],13-047.814761,614,7156,0.41,0.45,0.42,0.1,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,-0.06,47
167G,[13q (n=6)].[RB1-25],13-047.948892,945,8683,0.4,0.45,0.4,0.1,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,0.04,44
167G,[13q (n=6)].[MIR15A-1],13-049.521254,2619,19378,0.61,0.81,0.62,0.16,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.01,56
167G,[13q (n=6)].[DLEU1-2],13-049.576833,1474,11124,0.54,0.71,0.55,0.14,Decreased1StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,0.02,66
167G,[16p (n=3)].[TSC2-1],16-002.038612,1866,13330,0.91,1.22,0.92,0.23,Equal,Equal,-0.03,61
167G,[16p (n=3)].[TSC2-25],16-002.067648,726,7351,0.67,0.78,0.69,0.2,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.07,46
167G,[16p (n=3)].[TSC2-38],16-002.076651,1201,9960,0.57,0.75,0.58,0.18,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0,57
167G,[17p (n=3)].[TP53-10],17-007.514677,306,3603,0.28,0.3,0.28,1,Ambiguous,Ambiguous,-0.11,44
167G,[17p (n=3)].[TP53-4b],17-007.519217,657,6058,0.27,0.34,0.28,0.07,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,-0.13,58
167G,[17p (n=3)].[TP53-1],17-007.531504,911,8502,0.39,0.47,0.39,0.12,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.09,51
167G,[17q (n=5)].[NF1-18],17-026.577746,999,11168,0.86,0.97,0.87,0.22,Equal,Equal,0.03,55
167G,[17q (n=5)].[NF1-39],17-026.681489,2832,22790,1.05,1.33,1.07,0.28,Equal,Equal,-0.08,51
167G,[17q (n=5)].[BRCA1-24],17-038.450829,1433,15727,0.84,0.97,0.85,0.21,Equal,Equal,0.05,56
167G,[17q (n=5)].[BRCA1-15],17-038.479889,2292,23056,0.9,1.08,0.92,0.26,Equal,Equal,-0.1,57
167G,[17q (n=5)].[BRCA1-6],17-038.510430,1946,15614,1.03,1.33,1.05,0.28,Equal,Equal,-0.1,54
167G,[18q (n=2)].[SMAD4-4],18-046.829678,1821,17346,0.92,1.08,0.93,0.26,Equal,Equal,-0.02,55
167G,[18q (n=2)].[SMAD4-12],18-046.858705,1478,17088,0.98,1.09,1,1,Equal,Equal,0.04,65
167G,[19p (n=4)].[STK11-1],19-001.157954,1682,12875,0.79,1.03,0.8,0.22,Equal,Equal,-0.11,49
167G,[19p (n=4)].[STK11-3],19-001.170331,1038,8711,0.67,0.86,0.68,0.18,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.05,40
167G,[19p (n=4)].[FKBP8-9],19-018.503959,1205,11056,0.72,0.89,0.73,0.2,Equal,Equal,-0.08,58
167G,[19p (n=4)].[FKBP8-4],19-018.511130,1333,10623,0.7,0.88,0.71,0.19,Equal,Equal,-0.02,44
167G,[22q (n=2)].[SMARCB1-1],22-022.459352,854,8042,0.49,0.59,0.5,0.16,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.12,43
167G,[22q (n=2)].[SMARCB1-9],22-022.506421,1029,7705,0.51,0.67,0.51,0.13,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.03,32
167G,[Xq (n=2)].[AMER1-2],X-063.326842,301,3412,0.81,0.89,0.83,1,Equal,Equal,-0.05,52
167G,[Xq (n=2)].[AMER1-1],X-063.342134,1202,8487,0.72,0.97,0.72,0.21,Equal,Equal,-0.01,35
167G,[References (n=12)].[PEX13*],02-061.126370,1440,17271,0.95,1.02,0.96,0.24,Equal,Equal,-0.02,67
167G,[References (n=12)].[COL3A1*],02-189.557818,3669,29414,1.29,1.64,1.31,0.33,Ambiguous,Ambiguous,-0.03,65
167G,[References (n=12)].[WHSC1*],04-001.902193,1039,12304,0.78,0.86,0.8,1,Equal,Equal,-0.02,59
167G,[References (n=12)].[KLKB1*],04-187.390323,3057,22791,1.05,1.36,1.07,0.27,Equal,Equal,-0.1,43
167G,[References (n=12)].[IL4*],05-132.037607,3457,24234,1.15,1.55,1.16,0.28,Equal,Equal,-0.07,45
167G,[References (n=12)].[EYS*],06-065.588251,2433,23224,1.29,1.52,1.31,0.37,Ambiguous,Ambiguous,-0.03,55
167G,[References (n=12)].[SEC63*],06-108.321498,1560,17759,1.06,1.17,1.07,0.27,Equal,Equal,0.04,51
167G,[References (n=12)].[MTMR2*],11-095.238425,2229,18756,1.27,1.57,1.3,0.37,Ambiguous,Ambiguous,-0.02,43
167G,[References (n=12)].[MYH7*],14-022.972596,1903,14202,0.73,0.96,0.74,0.18,Equal,Equal,-0.06,53
167G,[References (n=12)].[SPG11*],15-042.653071,754,8137,0.57,0.64,0.57,0.15,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.03,51
167G,[References (n=12)].[PLCG2*],16-080.537323,1035,11177,0.65,0.76,0.67,0.17,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0.01,64
167G,[References (n=12)].[KCNJ6*],21-037.919589,1844,13655,0.73,0.99,0.75,0.24,Equal,Equal,-0.08,39
167H,[01p (n=5)].[DVL1-1],01-001.274237,1098,7815,0.48,0.76,0.48,0.15,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0.01,38
167H,[01p (n=5)].[PRDM16-3],01-003.150503,608,6671,0.56,0.67,0.57,0.17,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0.02,46
167H,[01p (n=5)].[CHD5-2],01-006.150830,625,6941,0.67,0.77,0.67,0.21,Ambiguous,Ambiguous,0.06,42
167H,[01p (n=5)].[CAMTA1-18],01-007.727575,1688,15423,0.84,1.09,0.85,0.22,Equal,Equal,0.1,52
167H,[01p (n=5)].[KIF1B-2],01-010.214967,4134,28381,1.24,1.93,1.26,0.35,Equal,Equal,-0.05,44
167H,[03p (n=4)].[VHL-1],03-010.158544,1099,9009,0.4,0.57,0.41,0.14,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.09,36
167H,[03p (n=4)].[VHL-2],03-010.163233,1065,10265,0.59,0.76,0.6,0.16,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.04,47
167H,[03p (n=4)].[FHIT-7],03-059.972109,2134,17845,1.13,1.59,1.15,0.33,Equal,Equal,-0.13,45
167H,[03p (n=4)].[FHIT-4],03-060.782680,1851,16102,0.93,1.25,0.95,0.29,Equal,Equal,-0.06,50
167H,[05q (n=2)].[APC-12],05-112.182873,1570,12696,0.92,1.29,0.94,0.25,Equal,Equal,-0.04,40
167H,[05q (n=2)].[APC-18],05-112.206814,1106,11685,1.08,1.32,1.09,1,Equal,Equal,0.14,59
167H,[09p (n=3)].[CDKN2A-4],09-021.958641,1336,13397,0.46,0.68,0.46,0.12,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.05,67
167H,[09p (n=3)].[CDKN2A-3],09-021.961213,1319,9192,0.46,0.72,0.47,0.12,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.11,39
167H,[09p (n=3)].[CDKN2B-1],09-021.998809,580,6338,0.35,0.44,0.37,1,Ambiguous,Ambiguous,0.18,52
167H,[09q (n=4)].[PTCH1-20],09-097.258441,2228,16819,0.67,1.02,0.68,0.19,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.07,43
167H,[09q (n=4)].[PTCH1-5],09-097.284232,2455,20610,1.34,1.86,1.37,0.39,Ambiguous,Ambiguous,-0.1,49
167H,[09q (n=4)].[TSC1-18],09-134.767854,2570,21389,0.8,1.08,0.83,1,Equal,Equal,-0.07,49
167H,[09q (n=4)].[TSC1-1],09-134.809748,1744,14306,0.59,0.85,0.6,0.17,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.11,53
167H,[10q (n=3)].[PTEN-4],10-089.680713,1991,18229,1.06,1.4,1.08,0.31,Equal,Equal,-0.03,54
167H,[10q (n=3)].[PTEN-5],10-089.682864,2250,21470,1.02,1.33,1.04,0.29,Equal,Equal,-0.01,64
167H,[10q (n=3)].[PTEN-8],10-089.710865,1442,14496,0.88,1.11,0.88,0.26,Equal,Equal,0.08,52
167H,[11p (n=2)].[WT1-11],11-032.366613,1451,16226,1,1.17,0.99,0.27,Equal,Equal,0.06,65
167H,[11p (n=2)].[WT1-1],11-032.413841,1418,11527,0.58,0.84,0.59,0.18,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.13,51
167H,[13q (n=6)].[BRCA2-3],13-031.791351,2737,18856,0.88,1.34,0.9,0.25,Equal,Equal,-0.13,45
167H,[13q (n=6)].[BRCA2-9],13-031.803112,2948,22642,0.84,1.22,0.85,0.24,Equal,Equal,-0.1,60
167H,[13q (n=6)].[RB1-3],13-047.814761,893,10120,0.54,0.63,0.54,0.14,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,-0.02,56
167H,[13q (n=6)].[RB1-25],13-047.948892,1204,10509,0.43,0.55,0.44,0.11,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,0.04,38
167H,[13q (n=6)].[MIR15A-1],13-049.521254,3870,27547,0.75,1.16,0.76,0.2,Equal,Equal,-0.06,57
167H,[13q (n=6)].[DLEU1-2],13-049.576833,2110,15814,0.65,1.02,0.66,0.18,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0,65
167H,[16p (n=3)].[TSC2-1],16-002.038612,2160,14623,0.86,1.35,0.86,0.23,Equal,Equal,-0.04,47
167H,[16p (n=3)].[TSC2-25],16-002.067648,567,5200,0.43,0.56,0.43,0.13,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.04,46
167H,[16p (n=3)].[TSC2-38],16-002.076651,895,7242,0.36,0.55,0.37,0.12,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.03,46
167H,[17p (n=3)].[TP53-10],17-007.514677,351,3784,0.26,0.32,0.27,1,Ambiguous,Ambiguous,0.08,31
167H,[17p (n=3)].[TP53-4b],17-007.519217,765,6504,0.26,0.37,0.26,0.07,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,-0.1,41
167H,[17p (n=3)].[TP53-1],17-007.531504,1037,8956,0.36,0.5,0.37,0.11,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.17,40
167H,[17q (n=5)].[NF1-18],17-026.577746,1085,11396,0.8,0.99,0.81,0.22,Equal,Equal,0.11,72
167H,[17q (n=5)].[NF1-39],17-026.681489,3563,27104,1.09,1.59,1.11,0.3,Equal,Equal,-0.11,55
167H,[17q (n=5)].[BRCA1-24],17-038.450829,1793,18247,0.88,1.13,0.89,0.23,Equal,Equal,0.11,55
167H,[17q (n=5)].[BRCA1-15],17-038.479889,2703,24206,0.84,1.14,0.86,0.25,Equal,Equal,-0.11,61
167H,[17q (n=5)].[BRCA1-6],17-038.510430,2612,19863,1.14,1.7,1.16,0.33,Equal,Equal,-0.13,53
167H,[18q (n=2)].[SMAD4-4],18-046.829678,2585,22953,1.08,1.44,1.1,0.33,Equal,Equal,-0.08,51
167H,[18q (n=2)].[SMAD4-12],18-046.858705,1772,19140,0.99,1.22,1.02,1,Equal,Equal,0.2,59
167H,[19p (n=4)].[STK11-1],19-001.157954,1600,11498,0.62,0.93,0.62,0.18,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.14,43
167H,[19p (n=4)].[STK11-3],19-001.170331,932,7379,0.5,0.73,0.5,0.14,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.08,39
167H,[19p (n=4)].[FKBP8-9],19-018.503959,1148,9535,0.54,0.78,0.55,0.16,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.05,48
167H,[19p (n=4)].[FKBP8-4],19-018.511130,1174,8853,0.51,0.75,0.51,0.14,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.05,42
167H,[22q (n=2)].[SMARCB1-1],22-022.459352,724,6475,0.35,0.48,0.36,0.11,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.12,47
167H,[22q (n=2)].[SMARCB1-9],22-022.506421,1083,7640,0.43,0.67,0.44,0.12,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.08,35
167H,[Xq (n=2)].[AMER1-2],X-063.326842,250,2492,0.54,0.65,0.55,1,Ambiguous,Ambiguous,-0.02,29
167H,[Xq (n=2)].[AMER1-1],X-063.342134,1060,6868,0.5,0.8,0.5,0.15,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0.02,25
167H,[References (n=12)].[PEX13*],02-061.126370,1665,19472,1,1.15,1,0.26,Equal,Equal,0.04,66
167H,[References (n=12)].[COL3A1*],02-189.557818,4667,34920,1.33,1.97,1.35,0.36,Ambiguous,Ambiguous,-0.06,51
167H,[References (n=12)].[WHSC1*],04-001.902193,976,11188,0.65,0.78,0.66,1,Ambiguous,Ambiguous,0.03,51
167H,[References (n=12)].[KLKB1*],04-187.390323,3939,28095,1.12,1.7,1.14,0.31,Equal,Equal,-0.13,43
167H,[References (n=12)].[IL4*],05-132.037607,4051,27562,1.11,1.78,1.12,0.29,Equal,Equal,-0.03,48
167H,[References (n=12)].[EYS*],06-065.588251,2789,24570,1.21,1.62,1.24,0.37,Equal,Equal,-0.03,46
167H,[References (n=12)].[SEC63*],06-108.321498,1711,18441,1,1.22,1.01,0.27,Equal,Equal,0.1,70
167H,[References (n=12)].[MTMR2*],11-095.238425,2764,21836,1.31,1.85,1.33,0.39,Ambiguous,Ambiguous,-0.07,44
167H,[References (n=12)].[MYH7*],14-022.972596,1846,13058,0.58,0.89,0.58,0.15,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.11,38
167H,[References (n=12)].[SPG11*],15-042.653071,768,8172,0.52,0.64,0.52,0.14,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.13,54
167H,[References (n=12)].[PLCG2*],16-080.537323,1208,11930,0.63,0.82,0.64,0.17,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0.04,64
167H,[References (n=12)].[KCNJ6*],21-037.919589,2250,16392,0.74,1.19,0.76,0.26,Equal,Equal,-0.04,41
167J,[01p (n=5)].[DVL1-1],01-001.274237,1659,12570,0.66,0.81,0.66,0.2,Ambiguous,Ambiguous,0.1,56
167J,[01p (n=5)].[PRDM16-3],01-003.150503,583,10767,0.55,0.72,0.56,0.17,Decreased1StdDevBelowArbitraryBorder,Ambiguous,0.08,71
167J,[01p (n=5)].[CHD5-2],01-006.150830,650,12508,0.7,0.93,0.71,0.23,Equal,Equal,0.04,62
167J,[01p (n=5)].[CAMTA1-18],01-007.727575,1440,18878,0.69,0.89,0.7,0.17,Equal,Equal,0.11,52
167J,[01p (n=5)].[KIF1B-2],01-010.214967,3791,27925,1.03,1.27,1.04,0.25,Equal,Equal,-0.01,43
167J,[03p (n=4)].[VHL-1],03-010.158544,1590,15522,0.52,0.66,0.53,0.17,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.06,58
167J,[03p (n=4)].[VHL-2],03-010.163233,1460,20886,0.8,1.04,0.81,0.19,Equal,Equal,0.11,60
167J,[03p (n=4)].[FHIT-7],03-059.972109,2509,25233,1.19,1.52,1.21,0.3,Equal,Equal,-0.13,57
167J,[03p (n=4)].[FHIT-4],03-060.782680,2297,26004,1.06,1.37,1.08,0.28,Equal,Equal,-0.13,46
167J,[05q (n=2)].[APC-12],05-112.182873,1925,19212,1.03,1.31,1.05,0.24,Equal,Equal,-0.08,60
167J,[05q (n=2)].[APC-18],05-112.206814,1228,20501,1.22,1.6,1.22,1,Equal,Equal,0.07,57
167J,[09p (n=3)].[CDKN2A-4],09-021.958641,1765,18435,0.5,0.63,0.51,0.13,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.05,69
167J,[09p (n=3)].[CDKN2A-3],09-021.961213,1607,11606,0.49,0.61,0.5,0.12,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.09,37
167J,[09p (n=3)].[CDKN2B-1],09-021.998809,753,11925,0.44,0.57,0.45,1,Ambiguous,Ambiguous,0.13,56
167J,[09q (n=4)].[PTCH1-20],09-097.258441,2146,17839,0.58,0.72,0.59,0.14,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.01,56
167J,[09q (n=4)].[PTCH1-5],09-097.284232,2568,26560,1.26,1.61,1.29,0.32,Equal,Equal,-0.06,52
167J,[09q (n=4)].[TSC1-18],09-134.767854,3127,33666,0.91,1.17,0.94,1,Equal,Equal,-0.07,59
167J,[09q (n=4)].[TSC1-1],09-134.809748,2632,25278,0.79,1.01,0.81,0.22,Equal,Equal,-0.03,63
167J,[10q (n=3)].[PTEN-4],10-089.680713,2182,28172,1.13,1.46,1.15,0.29,Equal,Equal,-0.08,60
167J,[10q (n=3)].[PTEN-5],10-089.682864,2363,31458,1.01,1.31,1.03,0.25,Equal,Equal,0.01,69
167J,[10q (n=3)].[PTEN-8],10-089.710865,1702,25320,1.01,1.32,1.01,0.25,Equal,Equal,0.09,62
167J,[11p (n=2)].[WT1-11],11-032.366613,1531,29398,1.08,1.43,1.08,0.29,Equal,Equal,0.07,76
167J,[11p (n=2)].[WT1-1],11-032.413841,1483,13688,0.53,0.67,0.54,0.15,Decreased1StdDevBelowArbitraryBorder,Ambiguous,-0.04,46
167J,[13q (n=6)].[BRCA2-3],13-031.791351,3588,27405,1.05,1.31,1.07,0.26,Equal,Equal,-0.12,64
167J,[13q (n=6)].[BRCA2-9],13-031.803112,3639,31566,0.91,1.15,0.93,0.22,Equal,Equal,-0.09,61
167J,[13q (n=6)].[RB1-3],13-047.814761,980,19153,0.61,0.81,0.61,0.15,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0.04,71
167J,[13q (n=6)].[RB1-25],13-047.948892,1516,21506,0.58,0.76,0.59,0.14,Decreased2StdDevBelowArbitraryBorder,Decreased1StdDevBelowArbitraryBorder,0.06,78
