chr	suffix	name	seq
1	A	X179C	1111111111111111111111111111111111111111112111111111111111111111111
1	A	X179D	1111111111111111111111111111111111111111112111111111111111111111111
1	A	X179G	1111111111111111111111111111111111111111122111111111111111111111111
1	A	internal_6	1111111111111111111111111111111111111111112111111111111111111111111
1	A	X179L	0000111111111111111111211111111111111111111111111111111111111111111
1	A	X179E	1111111111111211111111211111111221111111113111111111111111111111111
1	A	internal_4	1111111111111111111111211111111111111111112111111111111111111111111
1	A	internal_5	1111111111111111111111111111111111111111112111111111111111111111111
1	A	X179F_2	1111111111111112111211111111111211211122111111112111111122121111111
1	A	X179_F1	1111111111111112211111111111111211111112111111112111111112121111111
1	A	internal_2	1111111111111112111111111111111211111112111111112111111112121111111
1	A	internal_3	1111111111111111111111111111111111111111112111111111111111111111111
1	A	internal_1	1111111111111111111111111111111111111111111111111111111111111111111
1	A	diploid	1111111111111111111111111111111111111111111111111111111111111111111
1	B	X179C	1111111111111111111111111111110111111111111111111111111111111111111
1	B	X179D	1111111111111111111111111111110111111111111111111111111111111111111
1	B	X179G	0011111111111111111111111111110111111111111111111111111111111111111
1	B	internal_6	1111111111111111111111111111110111111111111111111111111111111111111
1	B	X179L	0000101000100000001110111111110111111111111111111111111111111111111
1	B	X179E	0000111101110111111111111111110111111111112111111101111111111111111
1	B	internal_4	0000111101110111111111111111110111111111111111111111111111111111111
1	B	internal_5	1111111111111111111111111111110111111111111111111111111111111111111
1	B	X179F_2	0001111111111111111111111000000100010011111111110111111011101111011
1	B	X179_F1	0001111111111110011111110000010000000111111111110111110011101111111
1	B	internal_2	0001111111111111111111111111110100011111111111110111111011101111111
1	B	internal_3	1111111111111111111111111111110111111111111111111111111111111111111
1	B	internal_1	1111111111111111111111111111110111111111111111111111111111111111111
1	B	diploid	1111111111111111111111111111111111111111111111111111111111111111111
2	A	X179C	1111111111111111111111111111111111111101100111111111111111111111
2	A	X179D	1111111111111111111111111111111111111001100111111111111111111111
2	A	X179G	1111111111111111111111111111111111111001100111111111111111111111
2	A	internal_6	1111111111111111111111111111111111111101100111111111111111111111
2	A	X179L	1111111111111111111111111111111111101001111111111111111111111111
2	A	X179E	1111111111111111111111111111111111111001100111121111111111221111
2	A	internal_4	1111111111111111111111111111111111111001111111111111111111111111
2	A	internal_5	1111111111111111111111111111111111111101100111111111111111111111
2	A	X179F_2	1111111122221211111111111111111111111111111111111111121111121111
2	A	X179_F1	1111111122111111111111111111111111111111111111111111121111121111
2	A	internal_2	1111111122221111111111111111111111111111111111111111121111121111
2	A	internal_3	1111111111111111111111111111111111111101111111111111111111111111
2	A	internal_1	1111111111111111111111111111111111111111111111111111111111111111
2	A	diploid	1111111111111111111111111111111111111111111111111111111111111111
2	B	X179C	1111111111111111111111111011111111000001111111111111111111111111
2	B	X179D	1111111111111111111111110011111111000001111111111111111111111111
2	B	X179G	1111111111111111111111100011111111000001111111111111111111111111
2	B	internal_6	1111111111111111111111111011111111000001111111111111111111111111
2	B	X179L	0101010111111111011111111111111111000001000111111111111100111110
2	B	X179E	1111111111111111111111111111111111000000111111111111111111111111
2	B	internal_4	1111111111111111111111111111111111000001111111111111111111111111
2	B	internal_5	1111111111111111111111111011111111000001111111111111111111111111
2	B	X179F_2	1111111101110011111100111111111011111111111111111111101111101111
2	B	X179_F1	1111111101010011111100111111111011111111111111111011101111101111
2	B	internal_2	1111111101110011111100111111111011111111111111111111101111101111
2	B	internal_3	1111111111111111111111111111111111000001111111111111111111111111
2	B	internal_1	1111111111111111111111111111111111111111111111111111111111111111
2	B	diploid	1111111111111111111111111111111111111111111111111111111111111111
3	A	X179C	111111111111111111111111111111111111111
3	A	X179D	122222222222112222222222222222111112222
3	A	X179G	111111111111111111111111111111111111111
3	A	internal_6	111111111111111111111111111111111111111
3	A	X179L	111111111111101221111111111111111111111
3	A	X179E	222222222222222222222222222222222222222
3	A	internal_4	111111111111111111111111111111111111111
3	A	internal_5	111111111111111111111111111111111111111
3	A	X179F_2	111111122111111111111111122222222211222
3	A	X179_F1	111111122111111111111111132222222211121
3	A	internal_2	111111122111111111111111122222222211111
3	A	internal_3	111111111111111111111111111111111111111
3	A	internal_1	111111111111111111111111111111111111111
3	A	diploid	111111111111111111111111111111111111111
3	B	X179C	111111111111111111111111111111111111111
3	B	X179D	111111111111111111111111111111111111111
3	B	X179G	111111111111111111111111111111111111111
3	B	internal_6	111111111111111111111111111111111111111
3	B	X179L	111110001111001111111101111101111111111
3	B	X179E	111111111111101211111111111111111111111
3	B	internal_4	111111111111101111111111111111111111111
3	B	internal_5	111111111111111111111111111111111111111
3	B	X179F_2	001111111111111111101111111111111100000
3	B	X179_F1	001111111111111111000111112111111000100
3	B	internal_2	001111111111111111101111111111111111100
3	B	internal_3	111111111111111111111111111111111111111
3	B	internal_1	111111111111111111111111111111111111111
3	B	diploid	111111111111111111111111111111111111111
4	A	X179C	11111111111111111122222222222222222322
4	A	X179D	11111111111111111122222222222222222222
4	A	X179G	11111111111111111122222222222222222222
4	A	internal_6	11111111111111111122222222222222222222
4	A	X179L	11110011111111111122221222211222222222
4	A	X179E	11111111111111111122222223222222222322
4	A	internal_4	11111111111111111122222222222222222222
4	A	internal_5	11111111111111111122222222222222222222
4	A	X179F_2	11111111112111111111111111111111111111
4	A	X179_F1	11111111112111111111111111111211111122
4	A	internal_2	11111111112111111111111111111111111122
4	A	internal_3	11111111111111111122222222222222222222
4	A	internal_1	11111111111111111122222222222222222222
4	A	diploid	11111111111111111111111111111111111111
4	B	X179C	11111111111110111111111110111110110011
4	B	X179D	11111111111110111111111110111110110011
4	B	X179G	11111111111110111111111110111110110011
4	B	internal_6	11111111111110111111111110111110110011
4	B	X179L	00000011111110111111111110111110110011
4	B	X179E	01011111111110111111111110111110110011
4	B	internal_4	01011111111110111111111110111110110011
4	B	internal_5	11111111111110111111111110111110110011
4	B	X179F_2	11111111010100011111100111111111111120
4	B	X179_F1	11111111010100010111000111111111111110
4	B	internal_2	11111111010100011111100111111111111110
4	B	internal_3	11111111111110111111111110111110110011
4	B	internal_1	11111111111110111111111111111111111111
4	B	diploid	11111111111111111111111111111111111111
5	A	X179C	111111111111111111111111111111
5	A	X179D	111111111111111111111111111111
5	A	X179G	111111111111111111111111111111
5	A	internal_6	111111111111111111111111111111
5	A	X179L	011111111111111111111111111111
5	A	X179E	111111111111111111111111111111
5	A	internal_4	111111111111111111111111111111
5	A	internal_5	111111111111111111111111111111
5	A	X179F_2	111111211111111111111222202222
5	A	X179_F1	111111211111111111111111111111
5	A	internal_2	111111211111111111111111111111
5	A	internal_3	111111111111111111111111111111
5	A	internal_1	111111111111111111111111111111
5	A	diploid	111111111111111111111111111111
5	B	X179C	111111111111101111111111111111
5	B	X179D	111111111111101111111111111111
5	B	X179G	111111111111101111111111111111
5	B	internal_6	111111111111101111111111111111
5	B	X179L	001111111110101110111111111000
5	B	X179E	011111111111101111111111111011
5	B	internal_4	011111111111101111111111111011
5	B	internal_5	111111111111101111111111111111
5	B	X179F_2	111101011111111111111111111111
5	B	X179_F1	111101011111111111111111101111
5	B	internal_2	111101011111111111111111111111
5	B	internal_3	111111111111101111111111111111
5	B	internal_1	111111111111111111111111111111
5	B	diploid	111111111111111111111111111111
6	A	X179C	11111111111111111111111111111111
6	A	X179D	11111111111111111111111111111111
6	A	X179G	11111111111111111111111111111111
6	A	internal_6	11111111111111111111111111111111
6	A	X179L	11111111111111111211111111111111
6	A	X179E	11111111111111111111111111111111
6	A	internal_4	11111111111111111111111111111111
6	A	internal_5	11111111111111111111111111111111
6	A	X179F_2	22222122111111001110111111111111
6	A	X179_F1	11112111111110001110111111211111
6	A	internal_2	22222111111111001110111111111111
6	A	internal_3	11111111111111111111111111111111
6	A	internal_1	11111111111111111111111111111111
6	A	diploid	11111111111111111111111111111111
6	B	X179C	11111111111100000000011011111111
6	B	X179D	11111111111100000000011011111111
6	B	X179G	11111111111100000000011011111111
6	B	internal_6	11111111111100000000011011111111
6	B	X179L	11111101111100000000011011111110
6	B	X179E	11111101111100000000011011111111
6	B	internal_4	11111101111100000000011011111111
6	B	internal_5	11111111111100000000011011111111
6	B	X179F_2	11111111111110000000001111111111
6	B	X179_F1	11110111110000000000001111011111
6	B	internal_2	11111111111110000000001111111111
6	B	internal_3	11111111111100000000011011111111
6	B	internal_1	11111111111110000000011111111111
6	B	diploid	11111111111111111111111111111111
7	A	X179C	1111111111111111121111111111111111
7	A	X179D	1111111112222111121111111111111111
7	A	X179G	1111111111111111111111111111111111
7	A	internal_6	1111111111111111121111111111111111
7	A	X179L	0001111111111111111011111111111101
7	A	X179E	1112111112111111222022222212221111
7	A	internal_4	1111111111111111111011111111111111
7	A	internal_5	1111111111111111111111111111111111
7	A	X179F_2	1111111111111111111111211111111111
7	A	X179_F1	1111112111111111111111211111111111
7	A	internal_2	1111111111111111111111211111111111
7	A	internal_3	1111111111111111111111111111111111
7	A	internal_1	1111111111111111111111111111111111
7	A	diploid	1111111111111111111111111111111111
