chr	suffix	name	seq
7	B	X179C	1111111111111111111111111111111111
7	B	X179D	1111111111111111111111111111111111
7	B	X179G	0011111111111111111111111111111111
7	B	internal_6	1111111111111111111111111111111111
7	B	X179L	0001111111101101110001111001100101
7	B	X179E	1011111111111111111111111111111111
7	B	internal_4	1011111111111111111111111111111111
7	B	internal_5	1111111111111111111111111111111111
7	B	X179F_2	1111111111111111111111011111111111
7	B	X179_F1	1111111111111111111111011111111111
7	B	internal_2	1111111111111111111111011111111111
7	B	internal_3	1111111111111111111111111111111111
7	B	internal_1	1111111111111111111111111111111111
7	B	diploid	1111111111111111111111111111111111
8	A	X179C	2223333221111112223222222222222222222222221111
8	A	X179D	3323332221111112222222222222222222222222221111
8	A	X179G	2222222221111112223222222222222222222222221111
8	A	internal_6	2223332221111112223222222222222222222222221111
8	A	X179L	2122222221110112222222222222222222222222221110
8	A	X179E	3333333331111112222222222222222222222222231111
8	A	internal_4	2222222221111112222222222222222222222222221111
8	A	internal_5	2222222221111112223222222222222222222222221111
8	A	X179F_2	1111111111111111222223233333333333332223333222
8	A	X179_F1	1111111011111111222223223333332433333333333332
8	A	internal_2	1111111111111111222223223333333333333333333332
8	A	internal_3	2222222221111112222222222222222222222222221111
8	A	internal_1	1111111111111111222222222222222222222222222221
8	A	diploid	1111111111111111111111111111111111111111111111
8	B	X179C	0000000000000002221222222121222222222222211111
8	B	X179D	0000000000000002211222222221122222222222211111
8	B	X179G	0000000000000002221222222222222222222122211111
8	B	internal_6	0000000000000002221222222221222222222222211111
8	B	X179L	0000000000000001111111111111111111111111211110
8	B	X179E	0000000000000001111111111111111111111111211110
8	B	internal_4	0000000000000001111111111111111111111111211110
8	B	internal_5	0000000000000002221222222222222222222222211111
8	B	X179F_2	0000000000011111111111211111111111111111111111
8	B	X179_F1	0000000000011110111111221111112111111111111111
8	B	internal_2	0000000000011111111111211111111111111111111111
8	B	internal_3	0000000000000001111111222222222222222222211111
8	B	internal_1	0000000000011111111111222222222222222222211111
8	B	diploid	1111111111111111111111111111111111111111111111
9	A	X179C	1111111111111111111111111
9	A	X179D	1111111111111111111111111
9	A	X179G	1111111111111111111111111
9	A	internal_6	1111111111111111111111111
9	A	X179L	1111111111111111111211100
9	A	X179E	1111111111111121111211111
9	A	internal_4	1111111111111111111211111
9	A	internal_5	1111111111111111111111111
9	A	X179F_2	1112121111111211111111111
9	A	X179_F1	1112121111121222121111111
9	A	internal_2	1112121111111222111111111
9	A	internal_3	1111111111111111111111111
9	A	internal_1	1111111111111111111111111
9	A	diploid	1111111111111111111111111
9	B	X179C	1111111111111111111111111
9	B	X179D	1111111111111111111111111
9	B	X179G	1111111111111111111111110
9	B	internal_6	1111111111111111111111111
9	B	X179L	1111111111111111111110000
9	B	X179E	1111111111111111111110000
9	B	internal_4	1111111111111111111110000
9	B	internal_5	1111111111111111111111111
9	B	X179F_2	1010011111111111111111111
9	B	X179_F1	1110011111101011101111111
9	B	internal_2	1110011111111111111111111
9	B	internal_3	1111111111111111111111111
9	B	internal_1	1111111111111111111111111
9	B	diploid	1111111111111111111111111
10	A	X179C	111111110000111211111111111111111111111111111111111
10	A	X179D	111111110000111211111111111111111111111111111111111
10	A	X179G	111111110000111211111111111111111111111111111111111
10	A	internal_6	111111110000111211111111111111111111111111111111111
10	A	X179L	110111110000111111122111111111101111111111111111110
10	A	X179E	111211110000111311111111122111111111111111211111111
10	A	internal_4	111111110000111211111111111111111111111111111111111
10	A	internal_5	111111110000111211111111111111111111111111111111111
10	A	X179F_2	111111111111111112122122222211111111113112211111111
10	A	X179_F1	111111111111111111132122222211111111122212221111111
10	A	internal_2	111111111111111111122122222211111111111112211111111
10	A	internal_3	111111110000111211111111111111111111111111111111111
10	A	internal_1	111111111111111111111111111111111111111111111111111
10	A	diploid	111111111111111111111111111111111111111111111111111
10	B	X179C	111111111110011111111111111111000111111111111111111
10	B	X179D	111111111110011111111111111111000111111111111111111
10	B	X179G	111111111110011111111111111111000111111111111111110
10	B	internal_6	111111111110011111111111111111000111111111111111111
10	B	X179L	011111111110011001111100111111000111111111111100100
10	B	X179E	111111111110011111111111111111000111111111111110110
10	B	internal_4	111111111110011111111111111111000111111111111110110
10	B	internal_5	111111111110011111111111111111000111111111111111111
10	B	X179F_2	011111100011111110101111112211111111110111111111111
10	B	X179_F1	011111100111111111101111111111111111111111101111111
10	B	internal_2	011111100111111111101111111111111111111111111111111
10	B	internal_3	111111111110011111111111111111000111111111111111111
10	B	internal_1	111111111111111111111111111111111111111111111111111
10	B	diploid	111111111111111111111111111111111111111111111111111
11	A	X179C	11111111111111211111111111111111
11	A	X179D	11111111111111111111111111111111
11	A	X179G	11111111111111111111111111111111
11	A	internal_6	11111111111111111111111111111111
11	A	X179L	00111111111111111111211111111111
11	A	X179E	11111111111111111111111111111121
11	A	internal_4	11111111111111111111111111111111
11	A	internal_5	11111111111111111111111111111111
11	A	X179F_2	11111111121111111111111122111111
11	A	X179_F1	11111112121111111111111112111111
11	A	internal_2	11111111121111111111111112111111
11	A	internal_3	11111111111111111111111111111111
11	A	internal_1	11111111111111111111111111111111
11	A	diploid	11111111111111111111111111111111
11	B	X179C	11111111111111111111111111111111
11	B	X179D	11111111111111111111111111111111
11	B	X179G	00111111111111111111111111111111
11	B	internal_6	11111111111111111111111111111111
11	B	X179L	00111111111111111011111111111110
11	B	X179E	00111111111111111111111111111111
11	B	internal_4	00111111111111111111111111111111
11	B	internal_5	11111111111111111111111111111111
11	B	X179F_2	11111100110011111111100110111111
11	B	X179_F1	11111110110011111111100110101111
11	B	internal_2	11111110110011111111100110111111
11	B	internal_3	11111111111111111111111111111111
11	B	internal_1	11111111111111111111111111111111
11	B	diploid	11111111111111111111111111111111
12	A	X179C	11111111111111111111
12	A	X179D	22211121111111111111
12	A	X179G	11111111111111111111
12	A	internal_6	11111111111111111111
12	A	X179L	11111111111111111111
12	A	X179E	22200222222222222222
12	A	internal_4	11111111111111111111
12	A	internal_5	11111111111111111111
12	A	X179F_2	22111111122222221111
12	A	X179_F1	11111111112222221111
12	A	internal_2	11111111112222221111
12	A	internal_3	11111111111111111111
12	A	internal_1	11111111111111111111
12	A	diploid	11111111111111111111
12	B	X179C	11100111111111111111
12	B	X179D	11100111111111111111
12	B	X179G	11100111111111111111
12	B	internal_6	11100111111111111111
12	B	X179L	11100111111111111110
12	B	X179E	11111111111111111111
12	B	internal_4	11111111111111111111
12	B	internal_5	11100111111111111111
12	B	X179F_2	11111111111110111111
12	B	X179_F1	11111111110111111111
12	B	internal_2	11111111111111111111
12	B	internal_3	11111111111111111111
12	B	internal_1	11111111111111111111
12	B	diploid	11111111111111111111
13	A	X179C	1111111111111111111111111111111
13	A	X179D	1111111111111111111111111111111
13	A	X179G	1111111111111111111111111111111
13	A	internal_6	1111111111111111111111111111111
13	A	X179L	1111111111111111111111211111110
13	A	X179E	1111111111111111111111111111111
13	A	internal_4	1111111111111111111111111111111
13	A	internal_5	1111111111111111111111111111111
13	A	X179F_2	1111111111111111111111111111111
13	A	X179_F1	1111111111112101111111111111111
13	A	internal_2	1111111111111111111111111111111
13	A	internal_3	1111111111111111111111111111111
13	A	internal_1	1111111111111111111111111111111
13	A	diploid	1111111111111111111111111111111
13	B	X179C	1111111101111111101011111111111
13	B	X179D	1111111101111111101011111111111
13	B	X179G	1111111101111111101011110111111
13	B	internal_6	1111111101111111101011111111111
13	B	X179L	1110111101111111101011111111100
13	B	X179E	1111111101111111101011111111111
13	B	internal_4	1111111101111111101011111111111
13	B	internal_5	1111111101111111101011111111111
13	B	X179F_2	1111101000100000000000000010111
13	B	X179_F1	1111101000000000000000000010111
13	B	internal_2	1111101000100000000000000010111
13	B	internal_3	1111111101111111101011111111111
13	B	internal_1	1111111101111111101011111111111
13	B	diploid	1111111111111111111111111111111
14	A	X179C	1111111111111111
14	A	X179D	1111111111111111
14	A	X179G	1111111111111111
14	A	internal_6	1111111111111111
14	A	X179L	1111111111111110
14	A	X179E	1111111111111111
14	A	internal_4	1111111111111111
14	A	internal_5	1111111111111111
14	A	X179F_2	1111111111111111
14	A	X179_F1	1111111111111111
14	A	internal_2	1111111111111111
14	A	internal_3	1111111111111111
14	A	internal_1	1111111111111111
14	A	diploid	1111111111111111
14	B	X179C	1111111111111111
14	B	X179D	1111111111111111
14	B	X179G	1111111111111111
14	B	internal_6	1111111111111111
14	B	X179L	1111111011101010
14	B	X179E	1111111111111110
14	B	internal_4	1111111111111110
14	B	internal_5	1111111111111111
14	B	X179F_2	1100111111111111
14	B	X179_F1	1100011111111111
14	B	internal_2	1100111111111111
14	B	internal_3	1111111111111111
14	B	internal_1	1111111111111111
14	B	diploid	1111111111111111
15	A	X179C	1111111111111111111111111111
15	A	X179D	1111111111111111111111111111
15	A	X179G	1111111111111111111111111111
15	A	internal_6	1111111111111111111111111111
15	A	X179L	1111111111111111111111111111
15	A	X179E	1111111111111111111111111111
15	A	internal_4	1111111111111111111111111111
15	A	internal_5	1111111111111111111111111111
15	A	X179F_2	1111111121222232222222111112
15	A	X179_F1	1111111111222222111112111111
15	A	internal_2	1111111111222222222222111111
15	A	internal_3	1111111111111111111111111111
15	A	internal_1	1111111111111111111111111111
15	A	diploid	1111111111111111111111111111
15	B	X179C	1111111111111111111111111111
15	B	X179D	1111111111111111111111111111
15	B	X179G	1111111111111111111111111111
15	B	internal_6	1111111111111111111111111111
15	B	X179L	0001111111111111100111111110
15	B	X179E	0111111111111111110111111111
15	B	internal_4	0111111111111111110111111111
15	B	internal_5	1111111111111111111111111111
15	B	X179F_2	1111111000110111111110111111
15	B	X179_F1	1111111000110100111110111111
15	B	internal_2	1111111000110111111110111111
15	B	internal_3	1111111111111111111111111111
15	B	internal_1	1111111111111111111111111111
15	B	diploid	1111111111111111111111111111
16	A	X179C	1111111111111111111111111
16	A	X179D	1111222111111111111111111
16	A	X179G	1111111111111111111111111
16	A	internal_6	1111111111111111111111111
16	A	X179L	0011112111111111111111100
16	A	X179E	1111222211111111111222211
16	A	internal_4	1111111111111111111111111
16	A	internal_5	1111111111111111111111111
16	A	X179F_2	1111111111111111111111111
16	A	X179_F1	1111111111111110111111111
16	A	internal_2	1111111111111111111111111
16	A	internal_3	1111111111111111111111111
16	A	internal_1	1111111111111111111111111
16	A	diploid	1111111111111111111111111
16	B	X179C	1111111111111111111111111
16	B	X179D	1111111111111111111111110
16	B	X179G	1111111111111111111111110
16	B	internal_6	1111111111111111111111111
16	B	X179L	0000111100010111010000000
16	B	X179E	0001111110111111111111110
16	B	internal_4	0001111110111111111111110
16	B	internal_5	1111111111111111111111111
16	B	X179F_2	1111111111100000000011110
16	B	X179_F1	1111111111100000000011000
16	B	internal_2	1111111111100000000011110
16	B	internal_3	1111111111111111111111111
16	B	internal_1	1111111111111111111111111
16	B	diploid	1111111111111111111111111
17	A	X179C	11111111111111111111
17	A	X179D	11111111111111111111
17	A	X179G	11111111111111111111
17	A	internal_6	11111111111111111111
17	A	X179L	11111111111111111111
17	A	X179E	11111111111111111111
17	A	internal_4	11111111111111111111
17	A	internal_5	11111111111111111111
17	A	X179F_2	11111111111111111111
17	A	X179_F1	11221111111211111111
17	A	internal_2	11111111111111111111
17	A	internal_3	11111111111111111111
17	A	internal_1	11111111111111111111
17	A	diploid	11111111111111111111
17	B	X179C	11111111111111111111
17	B	X179D	11111111111111111111
17	B	X179G	11111111111111111111
17	B	internal_6	11111111111111111111
17	B	X179L	00000100011111111000
17	B	X179E	11111111111111111100
17	B	internal_4	11111111111111111100
17	B	internal_5	11111111111111111111
17	B	X179F_2	10011111111111111111
17	B	X179_F1	10001111111011111111
17	B	internal_2	10011111111111111111
17	B	internal_3	11111111111111111111
17	B	internal_1	11111111111111111111
17	B	diploid	11111111111111111111
18	A	X179C	111111111111111
18	A	X179D	111111111111111
18	A	X179G	111111111111111
18	A	internal_6	111111111111111
18	A	X179L	111111111111110
18	A	X179E	111121111111111
18	A	internal_4	111111111111111
18	A	internal_5	111111111111111
18	A	X179F_2	111111111111111
18	A	X179_F1	111111111111111
18	A	internal_2	111111111111111
18	A	internal_3	111111111111111
18	A	internal_1	111111111111111
18	A	diploid	111111111111111
18	B	X179C	111111111100000
18	B	X179D	111111111100000
18	B	X179G	111111111100000
18	B	internal_6	111111111100000
18	B	X179L	111111010100000
18	B	X179E	111111110100000
18	B	internal_4	111111110100000
18	B	internal_5	111111111100000
18	B	X179F_2	111111111111011
18	B	X179_F1	110111111110000
18	B	internal_2	111111111111011
18	B	internal_3	111111111100000
18	B	internal_1	111111111111011
18	B	diploid	111111111111111
19	A	X179C	111111111111111111
19	A	X179D	111111111111111111
19	A	X179G	111111111111111111
19	A	internal_6	111111111111111111
19	A	X179L	000011111121111111
19	A	X179E	111111111111111111
19	A	internal_4	111111111111111111
19	A	internal_5	111111111111111111
19	A	X179F_2	111111111111111122
19	A	X179_F1	111111111111111122
19	A	internal_2	111111111111111122
19	A	internal_3	111111111111111111
19	A	internal_1	111111111111111111
19	A	diploid	111111111111111111
19	B	X179C	111111111111111111
19	B	X179D	111111111111111111
19	B	X179G	011111111111111111
19	B	internal_6	111111111111111111
19	B	X179L	000000100010010111
19	B	X179E	000110110111111111
19	B	internal_4	000110110111111111
19	B	internal_5	111111111111111111
19	B	X179F_2	111111111111111102
19	B	X179_F1	111111111111111101
19	B	internal_2	111111111111111101
19	B	internal_3	111111111111111111
19	B	internal_1	111111111111111111
19	B	diploid	111111111111111111
20	A	X179C	1111111111111111
20	A	X179D	1111111111111111
20	A	X179G	1111111111111111
20	A	internal_6	1111111111111111
20	A	X179L	1111111111111110
20	A	X179E	1111111111111111
20	A	internal_4	1111111111111111
20	A	internal_5	1111111111111111
20	A	X179F_2	1111111111111111
20	A	X179_F1	1112111111111211
20	A	internal_2	1111111111111111
20	A	internal_3	1111111111111111
20	A	internal_1	1111111111111111
20	A	diploid	1111111111111111
20	B	X179C	1111111111111111
20	B	X179D	1111111111111111
20	B	X179G	1111111111111110
20	B	internal_6	1111111111111111
20	B	X179L	0111111010110000
20	B	X179E	1111111111111110
20	B	internal_4	1111111111111110
20	B	internal_5	1111111111111111
20	B	X179F_2	1111111111110010
20	B	X179_F1	1110111111111010
20	B	internal_2	1111111111111010
20	B	internal_3	1111111111111111
20	B	internal_1	1111111111111111
20	B	diploid	1111111111111111
21	A	X179C	11111111111
21	A	X179D	11111111111
21	A	X179G	11111111111
21	A	internal_6	11111111111
21	A	X179L	11111111111
21	A	X179E	11111111111
21	A	internal_4	11111111111
21	A	internal_5	11111111111
21	A	X179F_2	11111111111
21	A	X179_F1	11111111111
21	A	internal_2	11111111111
21	A	internal_3	11111111111
21	A	internal_1	11111111111
21	A	diploid	11111111111
21	B	X179C	11111111111
21	B	X179D	11111111111
21	B	X179G	11111111111
21	B	internal_6	11111111111
21	B	X179L	11111111100
21	B	X179E	11111111110
21	B	internal_4	11111111110
21	B	internal_5	11111111111
21	B	X179F_2	00011111111
21	B	X179_F1	11011111111
21	B	internal_2	11011111111
21	B	internal_3	11111111111
21	B	internal_1	11111111111
21	B	diploid	11111111111
22	A	X179C	111111111111111
22	A	X179D	111111111111111
22	A	X179G	111111111111111
22	A	internal_6	111111111111111
22	A	X179L	111111111111100
22	A	X179E	111111111111111
22	A	internal_4	111111111111111
22	A	internal_5	111111111111111
22	A	X179F_2	111111111111111
22	A	X179_F1	111111111111111
22	A	internal_2	111111111111111
22	A	internal_3	111111111111111
22	A	internal_1	111111111111111
22	A	diploid	111111111111111
22	B	X179C	111111111111111
22	B	X179D	111111111111111
22	B	X179G	111111111111111
22	B	internal_6	111111111111111
22	B	X179L	000110110100000
22	B	X179E	001110110100000
22	B	internal_4	001110110100000
22	B	internal_5	111111111111111
22	B	X179F_2	111111111111110
22	B	X179_F1	111111111111110
22	B	internal_2	111111111111110
22	B	internal_3	111111111111111
22	B	internal_1	111111111111111
22	B	diploid	111111111111111
X	A	X179C	1111111
X	A	X179D	1111111
X	A	X179G	1111111
X	A	internal_6	1111111
X	A	X179L	1111101
X	A	X179E	1111111
X	A	internal_4	1111111
X	A	internal_5	1111111
X	A	X179F_2	1010111
X	A	X179_F1	0000000
X	A	internal_2	1010111
X	A	internal_3	1111111
X	A	internal_1	1111111
X	A	diploid	1111111
X	B	X179C	0000000
X	B	X179D	0000000
X	B	X179G	0000000
X	B	internal_6	0000000
X	B	X179L	0000000
X	B	X179E	0000000
X	B	internal_4	0000000
X	B	internal_5	0000000
X	B	X179F_2	0000000
X	B	X179_F1	0000000
X	B	internal_2	0000000
X	B	internal_3	0000000
X	B	internal_1	0000000
X	B	diploid	1111111
Y	A	X179C	222
Y	A	X179D	222
Y	A	X179G	222
Y	A	internal_6	222
Y	A	X179L	111
Y	A	X179E	111
Y	A	internal_4	111
Y	A	internal_5	222
Y	A	X179F_2	111
Y	A	X179_F1	111
Y	A	internal_2	111
Y	A	internal_3	111
Y	A	internal_1	111
Y	A	diploid	111
Y	B	X179C	111
Y	B	X179D	111
Y	B	X179G	111
Y	B	internal_6	111
Y	B	X179L	111
Y	B	X179E	100
Y	B	internal_4	111
Y	B	internal_5	111
Y	B	X179F_2	010
Y	B	X179_F1	000
Y	B	internal_2	010
Y	B	internal_3	111
Y	B	internal_1	111
Y	B	diploid	111
